name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Excelsior vs Ajax,2023-08-19 14:30:00,Game ended in draw.,Netherlands Eredivisie,Excelsior,Ajax,2,2,6,3,4.0,10.0,5.0,5.0,12.0,15.0,93.0,149.0,52.0,75.0,32.0,68.0,0.0,0.0,11.0,12.0,1.0,3.0,0.0,5.0,9.0,6.0,11.0,15.0,9.0,10.0,5.0,1.0,0.0,0.0,8.46,6.2,1.33,2.26,1.68,,,,,,,8.5,5.5,1.33,2.2,1.62,,,,,,,2023-2024
Vitesse vs PSV,2023-08-19 16:45:00,PSV won after full-time.,Netherlands Eredivisie,Vitesse,PSV,1,3,8,5,4.0,7.0,7.0,9.0,12.0,19.0,65.0,123.0,36.0,56.0,35.0,65.0,0.0,1.0,9.0,12.0,3.0,7.0,3.0,2.0,12.0,6.0,6.0,16.0,6.0,2.0,4.0,0.0,0.0,1.0,5.31,4.25,1.65,2.31,1.65,,,,,,,5.25,4.0,1.62,2.2,1.62,,,,,,,2023-2024
Fortuna Sittard vs Almere City,2023-08-19 18:00:00,Fortuna Sittard won after full-time.,Netherlands Eredivisie,Fortuna Sittard,Almere City,2,1,10,17,5.0,6.0,13.0,3.0,21.0,8.0,92.0,101.0,48.0,46.0,48.0,52.0,0.0,0.0,14.0,7.0,7.0,1.0,4.0,0.0,5.0,14.0,19.0,8.0,6.0,11.0,4.0,6.0,3.0,2.0,1.88,3.86,4.2,2.28,1.67,,,,,,,1.83,3.8,4.2,2.1,1.67,,,,,,,2023-2024
Go Ahead Eagles vs FC Volendam,2023-08-19 19:00:00,Go Ahead Eagles won after full-time.,Netherlands Eredivisie,Go Ahead Eagles,FC Volendam,4,1,18,12,4.0,12.0,0.0,7.0,9.0,19.0,86.0,113.0,55.0,60.0,43.0,57.0,0.0,0.0,7.0,12.0,2.0,7.0,0.0,2.0,14.0,5.0,5.0,9.0,4.0,8.0,4.0,2.0,1.0,3.0,1.49,5.02,6.29,2.25,1.68,,,,,,,1.45,4.75,6.5,2.1,1.67,,,,,,,2023-2024
FC Utrecht vs SC Heerenveen,2023-08-20 10:15:00,SC Heerenveen won after full-time.,Netherlands Eredivisie,FC Utrecht,SC Heerenveen,0,2,16,7,9.0,2.0,4.0,4.0,12.0,12.0,127.0,84.0,58.0,45.0,56.0,44.0,0.0,0.0,9.0,7.0,3.0,5.0,0.0,2.0,10.0,8.0,7.0,10.0,10.0,10.0,4.0,5.0,0.0,1.0,1.85,3.92,4.28,2.39,1.61,,,,,,,1.8,3.75,4.33,2.25,1.57,,,,,,,2023-2024
Sparta Rotterdam vs Feyenoord,2023-08-20 12:30:00,Game ended in draw.,Netherlands Eredivisie,Sparta Rotterdam,Feyenoord,2,2,8,12,3.0,12.0,3.0,10.0,10.0,24.0,60.0,162.0,23.0,94.0,29.0,71.0,0.0,0.0,6.0,15.0,4.0,9.0,2.0,1.0,15.0,2.0,8.0,18.0,11.0,5.0,6.0,3.0,2.0,0.0,4.91,4.34,1.68,2.33,1.64,,,,,,,5.0,4.2,1.65,2.2,1.62,,,,,,,2023-2024
FC Twente vs PEC Zwolle,2023-08-20 12:30:00,FC Twente won after full-time.,Netherlands Eredivisie,FC Twente,PEC Zwolle,3,1,7,13,7.0,3.0,10.0,5.0,19.0,9.0,117.0,87.0,60.0,41.0,68.0,32.0,0.0,1.0,13.0,7.0,6.0,2.0,0.0,3.0,5.0,15.0,11.0,5.0,5.0,16.0,3.0,1.0,2.0,5.0,1.43,5.22,6.96,2.15,1.74,,,,,,,1.44,4.75,7.5,2.05,1.7,,,,,,,2023-2024
RKC Waalwijk vs AZ,2023-08-20 14:45:00,AZ won after full-time.,Netherlands Eredivisie,RKC Waalwijk,AZ,1,3,15,7,1.0,10.0,1.0,4.0,7.0,15.0,62.0,110.0,21.0,61.0,44.0,56.0,1.0,0.0,7.0,11.0,0.0,4.0,1.0,0.0,5.0,6.0,5.0,10.0,9.0,9.0,4.0,4.0,2.0,1.0,5.26,4.31,1.64,2.32,1.65,,,,,,,5.25,3.8,1.65,2.2,1.62,,,,,,,2023-2024
NEC vs RKC Waalwijk,2023-08-26 16:45:00,NEC won after full-time.,Netherlands Eredivisie,NEC Nijmegen,RKC Waalwijk,3,0,13,16,2.0,4.0,3.0,5.0,13.0,10.0,104.0,136.0,45.0,69.0,40.0,60.0,0.0,0.0,11.0,7.0,2.0,3.0,0.0,0.0,9.0,8.0,11.0,5.0,9.0,10.0,1.0,6.0,1.0,2.0,1.72,4.32,4.6,2.38,1.62,,,,,,,1.7,4.0,4.5,2.25,1.57,,,,,,,2023-2024
Excelsior vs Fortuna Sittard,2023-08-26 19:00:00,Game ended in draw.,Netherlands Eredivisie,Excelsior,Fortuna Sittard,2,2,6,8,0.0,6.0,2.0,7.0,9.0,13.0,106.0,122.0,42.0,69.0,45.0,55.0,0.0,0.0,8.0,10.0,1.0,3.0,0.0,1.0,14.0,7.0,6.0,11.0,6.0,10.0,3.0,3.0,1.0,2.0,2.94,3.67,2.41,2.44,1.59,,,,,,,2.8,3.6,2.3,2.25,1.57,,,,,,,2023-2024
