name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Cercle Brugge vs Sporting Charleroi,2023-08-05 16:15:00,Cercle Brugge won after full-time.,Belgium Liga Pro,Cercle Brugge,Sporting Charleroi,2,0,13,11,4.0,5.0,9.0,2.0,19.0,8.0,153.0,117.0,59.0,53.0,51.0,49.0,1.0,0.0,10.0,4.0,9.0,4.0,3.0,2.0,,,,,11.0,13.0,3.0,1.0,0.0,3.0,1.76,4.03,4.52,2.4,1.6,,,,,,,1.73,4.0,4.5,2.1,1.67,,,,,,,2023-2024
OH Leuven vs RWDM,2023-08-05 18:45:00,RWDM won after full-time.,Belgium Liga Pro,OH Leuven,RWDM Brussels,1,2,8,16,15.0,6.0,6.0,9.0,19.0,15.0,136.0,78.0,66.0,41.0,61.0,39.0,0.0,1.0,12.0,11.0,7.0,4.0,5.0,2.0,1.0,0.0,,,14.0,18.0,2.0,4.0,4.0,1.0,2.02,4.12,3.37,2.92,1.43,,,,,,,2.05,3.8,3.2,2.75,1.4,,,,,,,2023-2024
Anderlecht vs Antwerp,2023-08-06 11:30:00,Anderlecht won after full-time.,Belgium Liga Pro,Anderlecht,Antwerp,1,0,15,6,3.0,6.0,6.0,0.0,10.0,5.0,108.0,149.0,32.0,77.0,44.0,56.0,1.0,0.0,6.0,5.0,4.0,0.0,2.0,2.0,,,,,9.0,19.0,2.0,1.0,1.0,1.0,3.32,3.47,2.25,2.21,1.69,,,,,,,3.1,3.4,2.25,2.1,1.67,,,,,1.83,2.03,2023-2024
Mechelen vs Gent,2023-08-06 14:00:00,Gent won after full-time.,Belgium Liga Pro,Mechelen,Gent,0,1,11,4,7.0,3.0,6.0,5.0,13.0,11.0,113.0,111.0,51.0,40.0,52.0,48.0,1.0,0.0,8.0,8.0,5.0,3.0,3.0,3.0,,,,,14.0,14.0,4.0,2.0,2.0,3.0,4.27,4.11,1.79,2.39,1.6,,,,,,,4.2,4.0,1.73,2.1,1.67,,,,,,,2023-2024
Westerlo vs Club Brugge,2023-08-06 16:30:00,Club Brugge won after full-time.,Belgium Liga Pro,Westerlo,Club Brugge,0,1,10,11,4.0,5.0,5.0,6.0,11.0,20.0,82.0,126.0,42.0,60.0,41.0,59.0,0.0,0.0,4.0,17.0,7.0,3.0,1.0,5.0,1.0,1.0,,,7.0,9.0,7.0,3.0,1.0,0.0,3.67,3.85,1.99,2.52,1.55,,,,,,,3.75,3.75,1.91,2.5,1.5,,,,,,,2023-2024
Kortrijk vs Sint-Truiden,2023-08-06 17:15:00,Sint-Truiden won after full-time.,Belgium Liga Pro,KV Kortrijk,Sint-Truiden,0,1,15,6,0.0,14.0,1.0,4.0,8.0,14.0,146.0,115.0,39.0,34.0,51.0,49.0,1.0,0.0,5.0,8.0,3.0,6.0,2.0,4.0,1.0,0.0,,,10.0,12.0,4.0,3.0,1.0,2.0,2.68,3.4,2.74,2.17,1.72,,,,,,,2.55,3.4,2.6,2.0,1.75,,,,,1.95,1.9,2023-2024
Antwerp vs Kortrijk,2023-08-11 18:45:00,Antwerp won after full-time.,Belgium Liga Pro,Antwerp,KV Kortrijk,6,0,8,15,4.0,1.0,12.0,2.0,25.0,4.0,165.0,79.0,68.0,18.0,63.0,37.0,0.0,0.0,20.0,3.0,5.0,1.0,,,,,,,8.0,11.0,1.0,4.0,0.0,2.0,1.23,6.48,12.73,1.87,1.94,,,,,,,1.25,5.25,10.0,1.91,1.91,,,,,,,2023-2024
RWDM vs Mechelen,2023-08-12 14:00:00,RWDM won after full-time.,Belgium Liga Pro,RWDM Brussels,Mechelen,1,0,10,13,7.0,4.0,4.0,3.0,18.0,9.0,105.0,105.0,58.0,41.0,43.0,57.0,0.0,0.0,12.0,6.0,6.0,3.0,2.0,2.0,0.0,1.0,,,12.0,12.0,4.0,5.0,3.0,1.0,2.59,3.88,2.57,2.58,1.53,,,,,,,2.55,3.4,2.5,2.5,1.5,,,,,,,2023-2024
Union Saint-Gilloise vs OH Leuven,2023-08-12 16:15:00,Union Saint-Gilloise won after full-time.,Belgium Liga Pro,Union Saint-Gilloise,OH Leuven,5,1,2,11,0.0,3.0,5.0,2.0,16.0,5.0,124.0,75.0,59.0,38.0,58.0,42.0,3.0,0.0,11.0,2.0,5.0,3.0,3.0,2.0,,,,,11.0,18.0,0.0,4.0,1.0,4.0,1.47,4.58,7.21,2.21,1.69,,,,,,,1.4,4.2,6.5,2.1,1.67,,,,,,,2023-2024
Sint-Truiden vs Anderlecht,2023-08-13 11:30:00,Anderlecht won after full-time.,Belgium Liga Pro,Sint-Truiden,Anderlecht,0,1,4,10,6.0,1.0,7.0,6.0,14.0,9.0,137.0,63.0,60.0,36.0,63.0,37.0,0.0,0.0,6.0,6.0,8.0,3.0,0.0,1.0,1.0,0.0,,,13.0,15.0,2.0,5.0,4.0,4.0,3.09,3.28,2.47,1.96,1.87,,,,,,,2.7,3.2,2.45,1.91,1.91,,,1.88,1.98,2.03,1.83,2023-2024
