name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Mafra vs Paços de Ferreira,2023-08-19 10:00:00,Mafra won after full-time.,Portugal LigaPro,Mafra,Paços de Ferreira,2,1,13,11,4.0,7.0,7.0,6.0,15.0,12.0,84.0,90.0,48.0,60.0,46.0,54.0,0.0,0.0,,,,,1.0,2.0,7.0,11.0,,,17.0,16.0,3.0,2.0,1.0,2.0,2.87,3.37,2.58,2.1,1.76,,,,,,,2.7,3.25,2.45,2.0,1.73,,,,,1.95,1.9,2023-2024
União de Leiria vs Benfica II,2023-08-19 13:00:00,União de Leiria won after full-time.,Portugal LigaPro,União de Leiria,Benfica II,3,1,12,5,1.0,5.0,3.0,7.0,7.0,10.0,36.0,96.0,18.0,50.0,34.0,66.0,1.0,0.0,,,,,0.0,3.0,10.0,3.0,,,11.0,7.0,1.0,0.0,4.0,2.0,1.88,3.83,4.14,2.16,1.72,,,,,,,1.85,3.4,3.8,2.0,1.73,,,,,1.85,2.0,2023-2024
Tondela vs Academico Viseu,2023-08-19 14:30:00,Game ended in draw.,Portugal LigaPro,Tondela,Academico Viseu,2,2,7,10,0.0,1.0,0.0,1.0,2.0,2.0,13.0,20.0,8.0,10.0,51.0,49.0,1.0,0.0,,,,,0.0,0.0,2.0,0.0,,,2.0,4.0,1.0,0.0,2.0,2.0,2.49,3.28,3.07,1.93,1.9,,,,,,,2.4,3.1,2.8,1.83,1.83,,,1.93,1.93,2.03,1.83,2023-2024
Vilaverdense vs UD Oliveirense,2023-08-20 10:00:00,UD Oliveirense won after full-time.,Portugal LigaPro,Vilaverdense,UD Oliveirense,1,2,12,4,4.0,6.0,7.0,2.0,17.0,8.0,98.0,96.0,80.0,61.0,50.0,50.0,1.0,0.0,,,,,3.0,3.0,4.0,10.0,,,22.0,13.0,4.0,6.0,4.0,5.0,2.23,3.54,3.29,2.1,1.76,,,,,,,2.15,3.3,3.1,2.0,1.73,,,,,1.95,1.9,2023-2024
CF Os Belenenses vs Porto II,2023-08-20 13:00:00,Game ended in draw.,Portugal LigaPro,CF Os Belenenses,Porto II,1,1,15,11,5.0,6.0,5.0,2.0,14.0,8.0,117.0,101.0,69.0,50.0,54.0,46.0,0.0,0.0,,,,,1.0,1.0,11.0,12.0,,,13.0,14.0,3.0,4.0,1.0,2.0,2.56,3.5,2.81,2.3,1.65,,,,,,,2.5,3.3,2.55,2.2,1.62,,,,,1.8,2.05,2023-2024
Feirense vs Penafiel,2023-08-20 19:30:00,Feirense won after full-time.,Portugal LigaPro,Feirense,Penafiel,2,0,16,4,9.0,5.0,10.0,1.0,23.0,6.0,96.0,61.0,83.0,34.0,65.0,35.0,0.0,0.0,,,,,0.0,0.0,6.0,16.0,,,15.0,12.0,3.0,4.0,4.0,2.0,2.66,3.21,2.9,1.84,2.0,,,,,,,2.5,3.1,2.75,1.8,1.91,,,2.05,1.8,,,2023-2024
Torreense vs Nacional,2023-08-21 17:45:00,Torreense won after full-time.,Portugal LigaPro,Torreense,Nacional,3,0,17,16,5.0,3.0,7.0,5.0,21.0,18.0,74.0,85.0,64.0,47.0,51.0,49.0,1.0,0.0,16.0,6.0,5.0,12.0,4.0,0.0,12.0,5.0,,,19.0,10.0,5.0,7.0,3.0,1.0,1.86,3.54,4.65,1.91,1.93,,,,,,,1.83,3.3,4.0,1.8,1.91,,,1.88,1.98,,,2023-2024
Leixões vs Santa Clara,2023-08-21 19:45:00,Game ended in draw.,Portugal LigaPro,Leixões,Santa Clara,0,0,18,4,2.0,3.0,3.0,6.0,7.0,15.0,87.0,86.0,43.0,44.0,54.0,46.0,0.0,0.0,3.0,3.0,4.0,12.0,0.0,4.0,8.0,5.0,,,24.0,13.0,6.0,2.0,4.0,4.0,3.49,3.27,2.27,1.88,1.94,,,,,,,3.3,3.2,2.15,1.8,1.91,,,1.95,1.9,,,2023-2024
Academico Viseu vs Feirense,2023-08-26 10:00:00,Academico Viseu won after full-time.,Portugal LigaPro,Academico Viseu,Feirense,2,0,12,8,3.0,5.0,7.0,10.0,15.0,15.0,92.0,101.0,50.0,65.0,45.0,55.0,0.0,0.0,,,,,2.0,2.0,16.0,11.0,,,18.0,8.0,5.0,3.0,3.0,2.0,1.69,3.89,5.33,1.95,1.88,,,,,,,1.6,3.6,4.75,1.8,1.91,,,1.8,2.05,1.98,1.88,2023-2024
Paços de Ferreira vs Tondela,2023-08-26 13:00:00,Paços de Ferreira won after full-time,Portugal LigaPro,Paços de Ferreira,Tondela,5,1,15,11,4.0,7.0,4.0,4.0,10.0,7.0,108.0,108.0,54.0,53.0,48.0,52.0,0.0,0.0,,,,,2.0,2.0,7.0,12.0,,,15.0,26.0,2.0,0.0,3.0,3.0,1.94,3.54,4.19,1.88,1.96,,,,,,,1.8,3.25,3.8,1.8,1.91,,,1.9,1.95,2.03,1.83,2023-2024
CF Os Belenenses vs Mafra,2023-08-26 14:30:00,Game ended in draw.,Portugal LigaPro,CF Os Belenenses,Mafra,1,1,16,7,3.0,3.0,4.0,7.0,9.0,11.0,67.0,86.0,49.0,57.0,41.0,59.0,0.0,0.0,,,,,1.0,2.0,13.0,10.0,,,14.0,10.0,2.0,3.0,3.0,2.0,2.74,3.37,2.7,2.18,1.71,,,,,,,2.5,3.2,2.45,2.0,1.73,,,,,1.98,1.88,2023-2024
Porto II vs União de Leiria,2023-08-27 10:00:00,Porto II won after full-time.,Portugal LigaPro,Porto II,União de Leiria,2,1,13,5,2.0,6.0,3.0,3.0,7.0,9.0,64.0,65.0,39.0,38.0,50.0,50.0,0.0,0.0,,,,,0.0,2.0,6.0,7.0,,,13.0,11.0,1.0,2.0,1.0,1.0,2.7,3.37,2.74,2.09,1.77,,,,,,,2.45,3.2,2.5,1.91,1.8,,,,,2.03,1.83,2023-2024
UD Oliveirense vs Penafiel,2023-08-27 10:00:00,UD Oliveirense won after full-time.,Portugal LigaPro,UD Oliveirense,Penafiel,3,1,1,8,6.0,6.0,5.0,9.0,15.0,13.0,71.0,82.0,48.0,68.0,55.0,45.0,1.0,1.0,,,,,0.0,1.0,14.0,5.0,,,13.0,25.0,3.0,3.0,2.0,2.0,2.42,3.46,3.03,2.11,1.76,,,,,,,2.25,3.3,2.75,1.91,1.8,,,1.78,2.1,2.0,1.85,2023-2024
Santa Clara vs Vilaverdense,2023-08-27 13:00:00,Santa Clara won after full-time.,Portugal LigaPro,Santa Clara,Vilaverdense,2,0,6,16,1.0,2.0,5.0,3.0,11.0,7.0,79.0,101.0,42.0,53.0,45.0,55.0,1.0,0.0,,,,,1.0,3.0,6.0,5.0,,,24.0,9.0,1.0,1.0,3.0,4.0,1.69,3.85,5.36,1.81,2.03,,,,,,,1.57,3.5,5.5,1.8,1.91,,,,,2.03,1.83,2023-2024
Benfica II vs Marítimo,2023-08-27 14:30:00,Marítimo won after full-time.,Portugal LigaPro,Benfica II,Marítimo,0,1,11,10,4.0,5.0,3.0,8.0,6.0,14.0,131.0,111.0,65.0,71.0,55.0,45.0,1.0,1.0,5.0,10.0,1.0,4.0,2.0,5.0,9.0,4.0,,,8.0,20.0,3.0,3.0,1.0,5.0,2.68,3.55,2.64,2.32,1.63,,,,,,,2.5,3.2,2.45,2.2,1.62,,,,,,,2023-2024
AVS vs Torreense,2023-08-27 17:00:00,Game ended in draw.,Portugal LigaPro,AVS,Torreense,0,0,3,9,6.0,0.0,14.0,5.0,20.0,6.0,150.0,88.0,102.0,36.0,65.0,35.0,0.0,0.0,10.0,4.0,10.0,2.0,6.0,3.0,9.0,19.0,,,17.0,9.0,1.0,4.0,4.0,2.0,2.12,3.37,3.75,1.86,1.98,,,,,,,1.95,3.25,3.3,1.83,1.83,,,1.93,1.93,2.05,1.8,2023-2024
Nacional vs Leixões,2023-08-28 17:00:00,Nacional won after full-time.,Portugal LigaPro,Nacional,Leixões,3,1,18,17,4.0,9.0,2.0,8.0,11.0,22.0,94.0,135.0,46.0,100.0,41.0,59.0,0.0,0.0,8.0,16.0,3.0,6.0,0.0,2.0,16.0,8.0,,,14.0,12.0,9.0,1.0,2.0,3.0,2.24,3.37,3.45,2.14,1.74,,,,,,,2.1,3.3,3.0,2.0,1.73,,,1.83,2.03,1.98,1.88,2023-2024
Tondela vs CF Os Belenenses,2023-09-01 17:00:00,CF Os Belenenses won after full-time.,Portugal LigaPro,Tondela,CF Os Belenenses,0,1,16,15,7.0,4.0,6.0,3.0,11.0,8.0,148.0,103.0,76.0,39.0,57.0,43.0,0.0,0.0,,,,,3.0,3.0,7.0,12.0,,,15.0,8.0,2.0,4.0,3.0,1.0,2.14,3.37,3.7,1.94,1.89,,,,,,,2.05,3.3,3.4,1.83,1.83,,,1.88,1.98,,,2023-2024
Mafra vs Porto II,2023-09-02 10:00:00,Mafra won after full-time.,Portugal LigaPro,Mafra,Porto II,2,1,11,6,5.0,9.0,5.0,4.0,17.0,11.0,85.0,102.0,51.0,83.0,40.0,60.0,0.0,0.0,,,,,1.0,3.0,11.0,10.0,,,17.0,8.0,5.0,5.0,2.0,2.0,2.45,3.42,3.0,2.07,1.78,,,,,,,2.38,3.2,2.88,2.1,1.67,,,,,1.93,1.93,2023-2024
