team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Adana Demirspor,2.56,1.12,5.53,4.4,8.73,6.93,19.6,14.2,101.47,98.53,66.8,56.13,50.33,49.4,0.53,0.33,10.4,8.73,9.2,5.47,2.67,3.0,3.17,2.17,14.33,10.0,10.47,12.67,2.87,4.13,2.0,2.87,0.53,0.23,0.27,0.64,0.4,,,,,,,0.59,0.25,0.25,0.42,0.65,,,,,0.54,0.5,Turkey Super Lig,2022-2023,1.47,1.76,6.12,4.41,5.41,5.47,15.18,15.65,87.29,85.53,57.65,54.47,51.71,48.0,0.19,0.12,9.29,8.82,5.88,6.82,3.06,2.18,6.86,4.71,9.71,9.88,13.0,11.29,3.06,3.47,2.12,1.94,0.42,0.24,0.38,0.66,0.38,,,,,,,0.48,0.26,0.37,0.4,0.67,,,,,0.52,0.52
Alanyaspor,1.53,1.53,5.12,3.81,4.75,4.31,11.0,12.19,88.56,96.56,58.81,58.44,53.0,46.62,0.2,0.27,7.44,7.38,3.56,4.81,2.0,3.19,1.8,2.0,8.25,8.88,11.56,11.44,3.19,2.12,2.19,1.81,0.39,0.25,0.38,0.62,0.42,,,,,,,0.36,0.26,0.45,0.44,0.63,,,0.55,0.49,0.52,0.52,Turkey Super Lig,2022-2023,2.41,1.35,5.25,4.31,6.12,4.44,15.69,10.0,101.88,99.25,63.44,57.44,46.06,53.56,0.31,0.06,10.19,6.0,5.5,4.0,2.81,1.88,5.5,5.25,11.56,8.0,11.56,13.38,1.94,3.56,1.31,1.94,0.51,0.25,0.27,0.62,0.42,,,,,,,0.55,0.26,0.27,0.44,0.64,,,,,0.55,0.49
Ankaragücü,1.35,1.53,5.65,3.65,5.53,4.53,13.29,11.18,98.76,97.12,66.65,61.47,51.41,48.24,0.18,0.18,8.29,7.41,5.0,3.76,2.65,1.35,5.67,4.0,9.35,7.88,11.12,11.82,2.29,3.12,1.71,1.76,0.46,0.26,0.31,0.6,0.44,,,,,,,0.47,0.27,0.35,0.46,0.61,,,0.54,0.5,0.53,0.51,Turkey Super Lig,2022-2023,1.47,1.0,4.75,4.75,6.38,4.81,14.88,10.44,97.69,92.38,66.06,57.81,52.44,47.25,0.25,0.19,10.5,6.25,4.38,4.19,2.0,2.19,4.0,6.0,11.19,7.69,12.25,12.12,2.5,4.75,1.88,2.0,0.48,0.26,0.29,0.59,0.45,,,,,,,0.49,0.28,0.31,0.48,0.6,,,0.53,0.51,0.52,0.52
Antalyaspor,1.82,1.41,5.88,3.69,6.12,4.62,15.0,12.31,82.56,87.62,58.0,52.19,47.88,52.0,0.13,0.2,9.31,7.88,5.69,4.44,2.31,1.62,5.5,6.17,10.56,8.44,12.75,12.19,3.19,3.81,1.94,2.69,0.49,0.28,0.27,0.57,0.47,,,,,,,0.49,0.29,0.3,0.49,0.59,,,0.54,0.5,0.53,0.51,Turkey Super Lig,2022-2023,1.59,0.88,4.94,3.65,5.0,4.76,11.94,10.59,98.94,95.18,59.35,53.94,49.65,50.29,0.21,0.14,8.59,5.82,3.35,4.76,2.06,2.29,5.0,3.86,8.35,7.71,11.24,11.53,2.47,2.88,1.94,1.94,0.51,0.26,0.27,0.58,0.46,,,,,,,0.47,0.27,0.33,0.5,0.59,,,0.52,0.52,0.52,0.52
Beşiktaş,2.31,0.94,5.87,3.47,7.2,3.2,16.31,7.12,121.53,92.93,87.2,54.87,54.73,44.93,0.27,0.0,12.47,4.4,4.93,3.2,2.0,1.8,7.0,6.5,13.13,5.6,14.53,13.2,1.4,4.4,2.07,2.6,0.64,0.21,0.18,0.59,0.45,,,,,,,0.67,0.22,0.21,0.48,0.6,,,,,0.55,0.5,Turkey Super Lig,2022-2023,1.18,2.12,5.41,5.65,6.82,5.71,12.29,12.76,95.53,97.76,59.82,60.35,49.94,49.76,0.18,0.29,7.0,8.59,5.29,4.18,2.47,1.76,5.44,4.11,8.53,8.65,12.18,14.65,2.35,2.29,2.06,2.29,0.32,0.27,0.45,0.6,0.44,,,,,,,0.34,0.28,0.46,0.46,0.62,,,0.53,0.51,0.53,0.51
Fatih Karagümrük,2.12,1.76,3.76,6.06,4.41,5.88,12.0,14.24,90.53,95.94,52.0,65.82,49.88,49.94,0.29,0.12,8.12,8.94,3.88,5.29,2.0,2.62,2.86,3.57,8.29,10.06,12.12,11.94,2.71,2.76,2.47,1.65,0.35,0.26,0.42,0.63,0.41,,,,,,,0.37,0.27,0.45,0.43,0.64,,,0.51,0.53,0.51,0.53,Turkey Super Lig,2022-2023,1.88,1.94,5.87,2.93,5.53,3.67,13.56,10.19,101.73,87.4,67.8,49.0,52.0,47.6,0.53,0.2,9.4,6.53,5.07,4.33,2.6,1.53,3.86,2.86,9.33,8.07,12.93,11.87,2.4,2.93,1.47,2.13,0.52,0.24,0.28,0.61,0.43,,,,,,,0.56,0.25,0.29,0.45,0.63,,,,,0.54,0.5
Fenerbahçe,2.71,1.41,5.94,2.56,6.25,2.38,15.75,7.75,105.75,82.06,62.75,38.25,59.38,40.31,0.75,0.31,10.25,5.0,5.5,2.75,1.5,4.31,4.43,6.29,11.69,5.56,13.75,15.56,1.88,3.38,2.25,3.56,0.7,0.2,0.14,0.57,0.47,,,,,,,0.7,0.2,0.16,0.5,0.58,,,0.54,0.5,0.52,0.52,Turkey Super Lig,2022-2023,1.0,2.12,3.62,5.62,3.81,6.06,9.44,15.25,90.94,113.75,52.75,74.06,39.75,60.0,0.12,0.31,6.19,10.56,3.25,4.69,4.38,2.12,5.5,6.25,7.25,9.25,12.81,14.06,2.31,2.06,2.38,1.81,0.24,0.24,0.55,0.61,0.43,,,,,,,0.28,0.25,0.55,0.45,0.62,,,,,0.53,0.51
Galatasaray,2.29,0.82,7.82,3.65,8.47,3.82,19.82,8.82,114.18,87.59,78.18,43.47,57.53,42.18,0.53,0.0,12.35,5.12,7.47,3.71,2.0,2.24,6.4,4.6,13.35,6.12,12.76,11.94,1.76,4.65,2.0,2.35,0.71,0.19,0.14,0.58,0.46,,,,,,,0.73,0.19,0.16,0.49,0.59,,,,,0.55,0.49,Turkey Super Lig,2022-2023,0.65,2.35,4.33,6.4,5.87,6.33,11.31,17.0,91.27,104.2,54.6,72.0,43.53,56.13,0.13,0.2,6.53,11.87,5.53,6.27,2.27,2.07,4.83,5.5,8.93,13.0,12.6,13.93,4.47,2.73,3.07,2.07,0.19,0.22,0.62,0.59,0.44,,,,,,,0.21,0.23,0.62,0.46,0.61,,,,,0.53,0.51
Gaziantep F.K.,1.07,2.0,4.44,4.89,4.78,5.67,10.0,11.82,87.22,104.0,52.56,63.22,44.67,55.0,0.11,0.11,8.11,10.44,4.11,4.0,1.56,2.22,3.0,4.67,9.0,10.44,11.78,11.56,3.0,2.44,2.89,2.22,0.36,0.28,0.4,0.58,0.46,,,,,,,,0.28,,0.48,0.6,,,0.57,0.47,0.52,0.52,Turkey Super Lig,2022-2023,1.88,0.81,5.27,5.0,6.45,4.55,12.38,9.62,104.27,83.82,67.45,44.18,56.82,42.64,0.45,0.0,9.09,7.09,5.55,4.27,2.36,1.91,5.43,5.71,9.91,7.27,10.45,8.91,1.64,2.45,1.91,3.0,0.54,0.26,0.22,0.59,0.45,,,,,,,,0.29,,0.47,0.61,,,,,0.54,0.5
Giresunspor,1.25,1.75,6.19,5.06,5.62,6.0,14.38,13.94,97.88,104.0,64.94,61.56,45.88,53.81,0.19,0.38,9.12,8.56,5.25,5.38,2.38,1.44,7.2,4.6,9.44,9.44,14.06,15.06,3.19,2.94,2.56,2.44,0.35,0.26,0.42,0.59,0.45,,,,,,,0.39,0.27,0.41,0.48,0.6,,,0.53,0.51,0.51,0.53,Turkey Super Lig,2022-2023,1.88,0.81,6.12,2.94,6.69,3.31,14.94,10.0,99.75,87.06,73.62,50.19,58.81,40.88,0.31,0.25,9.06,6.25,5.88,3.75,1.81,2.5,1.8,4.4,10.88,7.06,12.5,11.94,2.19,2.5,2.5,2.44,0.52,0.25,0.26,0.57,0.47,,,,,,,0.54,0.26,0.28,0.5,0.58,,,0.48,0.56,0.53,0.51
