team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AGF,2.06,1.25,6.0,4.12,5.19,2.88,15.69,8.81,98.31,91.75,50.44,37.88,52.44,47.56,1.0,0.0,10.69,6.06,5.19,2.69,1.0,0.73,6.0,8.81,10.25,6.25,11.0,11.69,2.56,4.88,1.86,2.71,0.48,0.27,0.29,0.56,0.47,,,0.54,0.5,0.52,0.52,0.49,0.27,0.3,0.51,0.56,,,0.54,0.51,0.52,0.52,Denmark Superliga,2024-2025,1.73,1.33,4.0,5.62,4.38,3.94,11.62,11.5,88.5,94.44,38.69,49.31,48.75,51.25,1.0,0.29,7.19,7.81,4.38,3.56,1.0,1.53,8.0,7.19,8.07,7.07,11.25,10.62,2.75,2.5,1.62,1.56,0.38,0.28,0.39,0.56,0.48,0.56,0.47,0.53,0.51,0.51,0.52,0.39,0.28,0.4,0.51,0.57,0.56,0.48,0.54,0.51,0.51,0.53
Aalborg BK,1.29,2.43,4.31,6.38,5.81,5.69,12.31,15.38,90.12,99.88,40.56,50.25,47.31,52.69,0.86,0.86,8.31,9.62,3.75,5.0,1.5,1.19,9.12,9.0,8.5,9.38,10.12,11.12,3.5,2.56,1.62,1.5,0.33,0.27,0.44,0.61,0.43,,,0.52,0.51,0.54,0.5,0.35,0.27,0.45,0.46,0.62,,,0.53,0.51,0.54,0.51,Denmark Superliga,2024-2025,2.06,1.0,4.81,5.5,5.94,5.62,15.0,12.31,104.12,82.88,53.0,41.94,53.62,46.38,0.5,0.5,9.94,8.19,5.19,4.06,1.69,1.31,7.75,8.19,10.07,8.0,11.38,9.75,2.31,3.44,1.5,1.81,0.55,0.24,0.24,0.62,0.42,,,,,0.54,0.49,0.56,0.25,0.25,0.45,0.62,,,0.55,0.5,0.55,0.5
Brøndby IF,1.71,1.29,6.38,4.25,6.25,4.0,16.25,9.81,104.44,87.88,62.19,44.06,54.5,45.5,1.33,0.0,10.25,6.56,6.06,3.25,1.64,1.29,6.25,8.62,10.75,5.81,10.62,9.69,2.19,3.94,1.56,2.12,0.56,0.24,0.24,0.6,0.44,,,0.54,0.5,0.52,0.52,0.57,0.25,0.25,0.47,0.61,,,0.56,0.49,0.52,0.52,Denmark Superliga,2024-2025,1.87,2.27,5.19,5.44,4.81,5.56,12.81,14.81,91.5,100.44,46.69,46.38,46.0,54.0,1.0,0.33,8.69,9.81,4.19,4.94,1.27,1.13,8.25,7.75,8.56,10.06,8.69,9.94,3.88,3.06,1.67,1.8,0.3,0.26,0.47,0.62,0.42,,,0.55,0.48,0.52,0.51,0.32,0.27,0.48,0.45,0.62,,,,,0.52,0.52
FC København,1.94,0.94,5.12,3.5,6.44,3.56,17.31,8.94,113.56,72.81,58.5,32.69,54.94,45.06,1.17,0.33,10.94,5.12,5.81,3.62,1.38,1.19,6.44,9.94,11.75,6.0,11.12,10.38,2.19,4.12,1.88,2.38,0.62,0.23,0.19,0.57,0.47,,,0.52,0.51,0.52,0.51,0.62,0.24,0.2,0.5,0.57,,,0.53,0.51,0.53,0.52,Denmark Superliga,2024-2025,1.29,2.07,4.75,4.25,4.56,5.5,10.81,14.12,87.62,102.94,43.81,49.56,48.19,51.81,0.33,0.67,7.25,9.19,3.62,5.19,1.06,2.31,9.12,7.62,6.4,8.27,12.19,10.62,3.38,2.0,1.87,2.07,0.28,0.26,0.5,0.58,0.45,,,0.53,0.5,0.51,0.52,0.29,0.27,0.51,0.5,0.58,,,0.54,0.5,0.52,0.53
FC Midtjylland,2.38,1.19,7.44,4.19,5.69,5.69,15.69,12.75,101.75,87.62,57.5,39.94,48.5,51.5,0.83,0.33,10.88,8.25,4.81,4.56,1.73,1.93,7.81,11.0,10.2,8.8,10.44,11.25,3.19,3.38,1.53,1.73,0.52,0.25,0.26,0.63,0.41,,,,,0.53,0.5,0.53,0.26,0.27,0.44,0.63,,,,,0.54,0.5,Denmark Superliga,2024-2025,1.44,1.62,5.56,5.69,5.44,5.88,14.31,13.81,93.0,100.25,51.06,53.94,52.69,47.31,0.6,0.4,10.19,9.56,4.12,4.06,1.38,1.69,7.69,8.56,9.56,8.69,10.5,8.81,3.06,3.56,1.73,1.73,0.36,0.26,0.42,0.63,0.4,,,,,0.53,0.5,0.37,0.27,0.43,0.44,0.64,,,,,0.54,0.51
Lyngby Boldklub,1.08,1.42,4.56,5.69,4.81,6.12,10.44,13.19,92.88,97.06,49.38,49.38,46.62,53.38,0.67,0.33,8.0,9.38,2.62,3.69,1.73,1.8,7.69,8.06,6.94,7.94,12.0,11.88,2.25,2.19,2.0,2.0,0.32,0.28,0.44,0.59,0.45,,,0.54,0.5,0.52,0.51,0.34,0.28,0.45,0.48,0.59,,,0.56,0.5,0.53,0.52,Denmark Superliga,2024-2025,1.62,0.81,5.25,4.62,5.62,5.56,15.19,11.56,111.38,94.44,58.19,45.19,53.5,46.5,0.8,0.4,9.38,7.62,5.62,3.25,1.5,1.31,8.56,8.81,9.94,6.69,10.69,11.31,2.0,3.81,1.31,2.44,0.57,0.25,0.22,0.55,0.49,,,0.53,0.5,0.53,0.5,0.58,0.25,0.23,0.51,0.56,,,0.54,0.5,0.53,0.52
Nordsjælland,2.25,1.19,4.62,3.75,5.12,4.5,15.62,11.0,113.75,80.75,54.12,40.19,61.56,38.44,1.0,0.0,9.88,6.94,5.81,4.12,1.12,1.19,7.5,7.81,11.31,7.56,9.38,9.81,2.5,4.38,1.33,1.53,0.53,0.24,0.27,0.62,0.42,,,0.55,0.48,0.52,0.5,0.54,0.25,0.27,0.45,0.62,,,0.56,0.49,0.54,0.51,Denmark Superliga,2024-2025,2.47,1.13,4.38,4.25,4.94,5.06,13.44,13.38,79.5,105.94,42.0,48.38,39.69,60.31,0.5,0.5,9.12,8.75,4.25,4.56,1.69,1.19,8.5,7.38,9.5,9.5,10.38,11.5,4.0,3.0,1.62,1.88,0.38,0.26,0.39,0.63,0.41,,,0.56,0.49,0.53,0.51,0.4,0.26,0.4,0.44,0.63,,,,,0.53,0.51
Randers FC,1.81,1.5,5.47,5.0,4.47,3.76,12.18,12.12,104.35,102.0,57.12,47.94,50.24,49.76,0.4,0.6,9.24,8.12,2.94,3.94,2.06,1.35,7.76,7.88,7.06,7.06,11.29,10.35,2.88,2.41,1.25,1.94,0.4,0.27,0.36,0.6,0.44,0.56,0.47,0.52,0.51,0.53,0.51,0.41,0.28,0.37,0.48,0.6,0.56,0.48,0.52,0.53,0.53,0.52,Denmark Superliga,2024-2025,1.93,1.93,4.94,4.81,5.62,4.0,15.5,10.06,114.31,84.0,59.38,37.44,57.56,42.44,0.6,1.0,9.38,7.38,5.75,2.5,1.4,1.73,5.69,10.0,9.81,6.81,10.56,10.94,2.06,3.75,1.53,2.4,0.45,0.26,0.32,0.6,0.44,,,0.54,0.49,0.51,0.52,0.46,0.27,0.33,0.47,0.6,,,0.55,0.5,0.52,0.53
Silkeborg IF,1.62,1.19,3.94,3.62,4.62,4.62,12.25,10.56,104.81,102.62,51.56,42.62,55.5,44.5,0.5,0.83,7.44,7.25,4.75,3.31,1.19,1.56,7.06,7.75,8.2,7.47,9.25,11.06,2.31,2.69,1.25,2.0,0.44,0.26,0.34,0.62,0.42,,,,,0.53,0.51,0.45,0.27,0.35,0.45,0.62,,,,,0.53,0.52,Denmark Superliga,2024-2025,1.35,1.94,5.06,5.12,6.47,4.06,14.06,12.76,111.88,94.29,52.0,47.94,47.59,52.41,0.33,1.0,9.82,8.24,4.18,4.53,1.31,0.81,7.0,10.0,9.24,8.24,10.06,9.47,3.24,3.06,1.53,1.18,0.44,0.26,0.34,0.6,0.44,,,,,0.53,0.5,0.45,0.27,0.34,0.47,0.6,,,,,0.54,0.51
Sønderjyske Fodbold,1.62,2.12,3.81,5.75,4.44,6.38,10.69,17.0,88.94,104.94,40.12,55.44,48.0,52.0,0.0,1.0,6.88,12.38,3.88,4.5,1.0,2.75,9.38,7.12,7.25,9.88,11.94,9.25,3.75,2.31,1.53,2.07,0.31,0.26,0.47,0.6,0.44,,,,,0.52,0.51,0.32,0.27,0.48,0.47,0.61,,,0.55,0.5,0.53,0.52,Denmark Superliga,2024-2025,1.88,1.31,5.19,4.81,4.38,5.19,13.31,11.25,100.88,89.38,49.06,45.19,54.25,45.75,0.33,1.0,9.81,7.44,3.5,3.75,2.56,1.75,7.94,8.06,8.44,7.69,10.81,12.25,2.5,2.94,1.67,2.47,0.54,0.25,0.25,0.6,0.44,,,,,0.52,0.51,0.55,0.26,0.26,0.47,0.6,,,,,0.52,0.52
