name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
OH Leuven vs Genk,2024-08-03 16:15:00,OH Leuven won after full-time.,Turkey Super Lig,OH Leuven,Genk,3,1,9,10,2.0,10.0,3.0,7.0,11.0,18.0,56.0,103.0,34.0,88.0,36.0,64.0,,,10.0,13.0,1.0,5.0,1.0,1.0,0.0,2.0,5.0,10.0,12.0,16.0,6.0,2.0,2.0,2.0,3.13,3.37,2.37,2.23,1.68,,,,,,,3.0,3.1,2.3,2.2,1.61,,,,,1.87,1.97,2024-2025
Sint-Truiden vs Sporting Charleroi,2024-08-03 18:45:00,Sporting Charleroi won after full-time.,Turkey Super Lig,Sint-Truiden,Sporting Charleroi,1,4,14,15,3.0,3.0,4.0,8.0,8.0,19.0,3.0,38.0,2.0,23.0,54.0,46.0,0.0,1.0,3.0,10.0,5.0,9.0,2.0,1.0,2.0,0.0,5.0,12.0,9.0,13.0,3.0,2.0,1.0,1.0,3.04,3.41,2.4,2.21,1.69,,,,,1.9,1.96,2.8,3.2,2.35,2.1,1.66,,,,,1.85,2.0,2024-2025
Antwerp vs Anderlecht,2024-08-04 11:30:00,Anderlecht won after full-time.,Turkey Super Lig,Antwerp,Anderlecht,1,2,6,7,7.0,2.0,17.0,4.0,29.0,10.0,89.0,115.0,56.0,59.0,42.0,58.0,,,19.0,7.0,10.0,3.0,0.0,1.0,2.0,0.0,21.0,5.0,17.0,11.0,3.0,6.0,2.0,0.0,1.81,3.83,4.0,2.23,1.63,,,,,1.85,1.95,1.75,3.5,4.1,2.05,1.7,,,,,1.85,2.0,2024-2025
Cercle Brugge vs Kortrijk,2024-08-04 14:00:00,Kortrijk won after full-time.,Turkey Super Lig,Cercle Brugge,KV Kortrijk,1,2,15,14,14.0,7.0,9.0,2.0,23.0,11.0,144.0,82.0,90.0,47.0,68.0,32.0,,,21.0,8.0,2.0,3.0,1.0,2.0,0.0,2.0,8.0,4.0,7.0,13.0,3.0,5.0,2.0,3.0,1.5,4.48,6.44,2.17,1.71,,,,,,,1.42,4.5,6.0,2.0,1.75,,,,,,,2024-2025
Standard Liège vs Club Brugge,2024-08-04 16:30:00,Standard Liège won after full-time.,Turkey Super Lig,Standard Liège,Club Brugge,1,0,9,8,3.0,10.0,5.0,4.0,10.0,16.0,72.0,137.0,30.0,61.0,33.0,67.0,,,4.0,9.0,6.0,7.0,2.0,1.0,0.0,1.0,6.0,8.0,10.0,8.0,5.0,1.0,0.0,2.0,5.73,4.55,1.54,2.21,1.69,,,,,,,5.25,4.33,1.53,2.1,1.66,,,,,,,2024-2025
Gent vs Dender,2024-08-04 17:15:00,Dender won after full-time.,Turkey Super Lig,Gent,Dender,1,2,6,10,6.0,3.0,6.0,8.0,15.0,17.0,164.0,105.0,82.0,22.0,65.0,35.0,,,8.0,8.0,7.0,9.0,0.0,3.0,1.0,0.0,8.0,14.0,8.0,13.0,3.0,2.0,0.0,3.0,1.5,4.44,5.62,2.11,1.7,,,,,,,1.48,4.33,5.75,2.05,1.7,,,,,,,2024-2025
Standard Liège vs Mechelen,2024-08-09 18:45:00,Game ended in draw.,Turkey Super Lig,Standard Liège,Mechelen,0,0,6,12,6.0,3.0,8.0,4.0,17.0,9.0,94.0,106.0,29.0,29.0,40.0,60.0,,,10.0,3.0,7.0,6.0,1.0,2.0,7.0,11.0,11.0,6.0,7.0,9.0,2.0,5.0,1.0,1.0,2.64,3.28,2.82,2.26,1.66,,,,,1.84,2.03,2.62,3.3,2.62,2.1,1.66,,,,,1.87,1.97,2024-2025
Dender vs Kortrijk,2024-08-10 14:00:00,Dender won after full-time.,Turkey Super Lig,Dender,KV Kortrijk,4,1,6,9,3.0,9.0,4.0,5.0,12.0,9.0,85.0,122.0,33.0,69.0,50.0,50.0,,,8.0,5.0,4.0,4.0,,,1.0,0.0,10.0,7.0,10.0,8.0,1.0,2.0,0.0,4.0,2.34,3.37,3.18,2.09,1.78,,,,,1.93,1.93,2.2,3.4,3.1,2.05,1.7,,,,,1.95,1.9,2024-2025
Westerlo vs Union Saint-Gilloise,2024-08-10 16:15:00,Westerlo won after full-time.,Turkey Super Lig,Westerlo,Union Saint-Gilloise,4,3,1,5,5.0,6.0,8.0,2.0,24.0,14.0,106.0,108.0,52.0,40.0,46.0,54.0,,,21.0,10.0,3.0,4.0,2.0,3.0,0.0,2.0,16.0,10.0,11.0,15.0,4.0,4.0,5.0,3.0,3.64,3.82,1.98,2.35,1.62,,,,,,,3.6,3.7,1.9,2.2,1.61,,,,,,,2024-2025
Anderlecht vs OH Leuven,2024-08-10 18:45:00,Game ended in draw.,Turkey Super Lig,Anderlecht,OH Leuven,1,1,3,6,9.0,4.0,10.0,4.0,19.0,10.0,89.0,65.0,61.0,42.0,60.0,40.0,,,14.0,5.0,5.0,5.0,0.0,2.0,0.0,1.0,11.0,10.0,10.0,14.0,3.0,1.0,3.0,2.0,1.76,3.93,4.57,2.4,1.6,,,1.8,2.03,1.86,1.98,1.72,4.0,4.2,2.25,1.57,,,1.8,2.05,1.85,2.0,2024-2025
Genk vs Club Brugge,2024-08-11 11:30:00,Genk won after full-time.,Turkey Super Lig,Genk,Club Brugge,3,2,13,12,5.0,4.0,6.0,5.0,14.0,17.0,107.0,81.0,47.0,39.0,54.0,46.0,1.0,0.0,9.0,12.0,5.0,5.0,3.0,1.0,0.0,2.0,15.0,10.0,10.0,4.0,5.0,4.0,2.0,2.0,3.9,3.81,1.92,2.4,1.6,,,,,,,3.6,3.8,1.9,2.25,1.57,,,,,,,2024-2025
Antwerp vs Sint-Truiden,2024-08-11 14:00:00,Antwerp won after full-time.,Turkey Super Lig,Antwerp,Sint-Truiden,6,1,9,15,5.0,2.0,6.0,3.0,20.0,15.0,85.0,103.0,46.0,32.0,52.0,48.0,,,15.0,10.0,5.0,5.0,2.0,1.0,5.0,8.0,14.0,10.0,5.0,9.0,6.0,2.0,1.0,0.0,1.39,4.89,8.32,1.77,2.09,,,,,,,1.38,4.5,8.5,1.75,2.0,,,,,,,2024-2025
Sporting Charleroi vs Gent,2024-08-11 16:30:00,Sporting Charleroi won after full-time.,Turkey Super Lig,Sporting Charleroi,Gent,1,0,8,9,4.0,3.0,10.0,3.0,17.0,7.0,114.0,101.0,49.0,42.0,41.0,59.0,,,15.0,5.0,2.0,2.0,3.0,0.0,0.0,1.0,12.0,2.0,14.0,6.0,0.0,4.0,3.0,1.0,2.86,3.53,2.46,2.25,1.67,,,,,1.84,2.04,2.87,3.4,2.37,2.2,1.61,,,,,1.8,2.05,2024-2025
Cercle Brugge vs Beerschot,2024-08-11 17:15:00,Cercle Brugge won after full-time.,Turkey Super Lig,Cercle Brugge,K. Beerschot V.A.,4,1,15,14,8.0,1.0,6.0,1.0,22.0,4.0,171.0,55.0,86.0,17.0,52.0,48.0,,,17.0,3.0,5.0,1.0,4.0,0.0,2.0,9.0,11.0,2.0,9.0,12.0,1.0,4.0,2.0,2.0,1.5,4.78,5.98,2.15,1.73,,,,,,,1.48,4.5,5.75,2.05,1.7,,,,,,,2024-2025
Union Saint-Gilloise vs Sporting Charleroi,2024-08-16 18:45:00,Union Saint-Gilloise won after full-time.,Turkey Super Lig,Union Saint-Gilloise,Sporting Charleroi,1,0,8,5,5.0,4.0,8.0,4.0,18.0,6.0,112.0,101.0,63.0,33.0,46.0,54.0,1.0,0.0,8.0,3.0,10.0,3.0,4.0,0.0,0.0,1.0,11.0,4.0,14.0,19.0,1.0,3.0,1.0,4.0,1.82,3.77,4.4,2.15,1.73,,,,,1.86,2.01,1.8,3.75,4.2,2.0,1.75,,,,,1.85,2.0,2024-2025
Beerschot vs Genk,2024-08-17 14:00:00,Genk won after full-time.,Turkey Super Lig,K. Beerschot V.A.,Genk,3,4,15,9,6.0,3.0,5.0,1.0,14.0,11.0,9.0,16.0,2.0,7.0,55.0,45.0,1.0,1.0,10.0,6.0,4.0,5.0,2.0,3.0,5.0,6.0,13.0,7.0,7.0,12.0,1.0,4.0,3.0,1.0,5.17,4.25,1.63,2.23,1.68,,,,,,,5.25,4.2,1.57,2.05,1.7,,,,,,,2024-2025
Sint-Truiden vs Dender,2024-08-17 16:15:00,Game ended in draw.,Turkey Super Lig,Sint-Truiden,Dender,3,3,16,2,3.0,7.0,4.0,5.0,12.0,13.0,89.0,126.0,47.0,78.0,48.0,52.0,,,9.0,7.0,3.0,6.0,2.0,5.0,1.0,0.0,10.0,10.0,10.0,6.0,4.0,1.0,1.0,1.0,2.82,3.39,2.57,2.06,1.79,,,,,2.0,1.86,2.7,3.4,2.55,2.25,1.57,,,,,1.97,1.87,2024-2025
Mechelen vs Anderlecht,2024-08-17 18:45:00,Anderlecht won after full-time.,Turkey Super Lig,Mechelen,Anderlecht,1,3,13,4,9.0,8.0,10.0,1.0,22.0,11.0,105.0,110.0,45.0,59.0,53.0,47.0,,,12.0,8.0,10.0,3.0,1.0,1.0,7.0,10.0,18.0,10.0,12.0,12.0,4.0,8.0,1.0,2.0,3.11,3.62,2.27,2.45,1.57,,,,,,,3.1,3.4,2.25,2.25,1.57,,,,,,,2024-2025
Club Brugge vs Antwerp,2024-08-18 11:30:00,Club Brugge won after full-time.,Turkey Super Lig,Club Brugge,Antwerp,1,0,14,6,7.0,8.0,5.0,5.0,14.0,13.0,79.0,67.0,44.0,29.0,50.0,50.0,1.0,0.0,8.0,6.0,6.0,7.0,2.0,2.0,10.0,8.0,9.0,8.0,14.0,13.0,3.0,4.0,1.0,4.0,1.75,4.0,4.51,2.44,1.58,,,,,1.83,2.04,1.7,3.8,4.75,2.2,1.61,,,,,1.82,2.02,2024-2025
OH Leuven vs Cercle Brugge,2024-08-18 14:00:00,Game ended in draw.,Turkey Super Lig,OH Leuven,Cercle Brugge,1,1,8,10,6.0,4.0,4.0,1.0,12.0,11.0,71.0,139.0,34.0,57.0,53.0,47.0,,,9.0,4.0,3.0,7.0,3.0,0.0,12.0,6.0,7.0,5.0,11.0,13.0,5.0,5.0,3.0,2.0,2.48,3.58,2.8,2.47,1.56,,,,,1.84,2.04,2.5,3.4,2.7,2.25,1.57,,,,,1.8,2.05,2024-2025
Kortrijk vs Standard Liège,2024-08-18 16:30:00,Kortrijk won after full-time.,Turkey Super Lig,KV Kortrijk,Standard Liège,1,0,13,9,13.0,0.0,6.0,2.0,21.0,6.0,110.0,95.0,71.0,34.0,57.0,43.0,,,14.0,5.0,7.0,1.0,,,1.0,0.0,11.0,2.0,9.0,13.0,0.0,7.0,1.0,1.0,2.32,3.34,3.23,2.01,1.83,,,1.81,2.07,1.91,1.95,2.25,3.3,3.2,1.95,1.8,,,1.82,2.02,2.05,1.8,2024-2025
