name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Lanús vs Independiente Rivadavia,2024-05-12 20:45:00,Independiente Rivadavia won after full-time.,Argentina Liga Profissional de Futebol,Lanús,Independiente Rivadavia,0,2,10,16,6.0,3.0,12.0,1.0,18.0,7.0,135.0,81.0,50.0,26.0,66.0,34.0,,,9.0,6.0,9.0,1.0,1.0,2.0,,,11.0,5.0,10.0,13.0,3.0,7.0,1.0,1.0,1.58,4.0,6.18,1.66,2.27,,,,,,,1.53,3.8,6.5,1.61,2.2,,,1.9,1.95,,,2024
Atlético Tucumán vs Boca Juniors,2024-05-12 23:15:00,Atlético Tucumán won after full-time.,Argentina Liga Profissional de Futebol,Atlético Tucumán,Boca Juniors,1,0,17,16,3.0,13.0,4.0,2.0,12.0,11.0,80.0,119.0,33.0,70.0,31.0,69.0,,,6.0,5.0,6.0,6.0,1.0,0.0,,,8.0,5.0,12.0,11.0,4.0,4.0,0.0,1.0,2.79,3.03,2.86,1.76,2.1,1.9,1.95,,,,,2.75,3.0,2.7,1.7,2.05,1.87,1.97,,,,,2024
Gimnasia La Plata vs Vélez Sarsfield,2024-05-13 22:00:00,Gimnasia La Plata won after full-time.,Argentina Liga Profissional de Futebol,Gimnasia La Plata,Vélez Sarsfield,3,1,14,15,4.0,7.0,7.0,5.0,15.0,15.0,100.0,102.0,48.0,50.0,41.0,59.0,,,8.0,7.0,7.0,8.0,2.0,3.0,,,10.0,10.0,14.0,9.0,8.0,4.0,3.0,3.0,3.33,3.13,2.39,1.87,1.97,,,2.01,1.86,,,3.1,3.1,2.4,1.8,1.95,,,2.0,1.85,,,2024
Unión Santa Fe vs Banfield,2024-05-14 00:00:00,Unión Santa Fe won after full-time.,Argentina Liga Profissional de Futebol,Unión Santa Fe,Banfield,1,0,14,16,5.0,2.0,8.0,3.0,19.0,6.0,140.0,72.0,52.0,34.0,61.0,39.0,,,8.0,2.0,11.0,4.0,1.0,3.0,,,14.0,2.0,10.0,15.0,2.0,9.0,2.0,4.0,2.62,2.73,3.45,1.62,2.35,,,,,,,2.45,2.75,3.6,1.57,2.25,,,,,,,2024
Independiente Rivadavia vs Godoy Cruz,2024-05-18 18:30:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Independiente Rivadavia,Godoy Cruz,0,0,6,18,1.0,8.0,5.0,13.0,5.0,16.0,80.0,84.0,34.0,56.0,36.0,64.0,,,4.0,11.0,1.0,5.0,5.0,2.0,,,1.0,9.0,13.0,16.0,2.0,3.0,2.0,4.0,4.22,3.1,2.08,1.62,2.34,2.07,1.81,,,,,3.9,3.1,2.05,1.57,2.25,2.02,1.82,,,,,2024
River Plate vs Belgrano,2024-05-18 21:00:00,River Plate won after full-time.,Argentina Liga Profissional de Futebol,River Plate,Belgrano,3,0,1,15,7.0,1.0,14.0,7.0,22.0,7.0,140.0,75.0,77.0,23.0,77.0,23.0,,,13.0,2.0,9.0,5.0,2.0,2.0,,,15.0,2.0,12.0,15.0,3.0,7.0,3.0,2.0,1.25,6.19,11.12,1.68,2.21,,,,,1.86,2.01,1.27,5.5,12.0,1.7,2.05,,,,,1.82,2.02,2024
Defensa y Justicia vs Gimnasia La Plata,2024-05-18 23:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Defensa y Justicia,Gimnasia La Plata,1,1,23,4,3.0,7.0,8.0,9.0,16.0,14.0,112.0,102.0,44.0,63.0,56.0,44.0,,,7.0,9.0,9.0,5.0,1.0,3.0,1.0,0.0,10.0,13.0,9.0,12.0,3.0,2.0,1.0,2.0,2.56,3.29,2.91,1.94,1.89,,,1.95,1.91,,,2.3,3.25,3.2,1.9,1.9,,,1.9,1.95,,,2024
Instituto vs Unión Santa Fe,2024-05-18 23:30:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Instituto,Unión Santa Fe,1,1,8,10,5.0,6.0,7.0,9.0,7.0,12.0,78.0,94.0,36.0,53.0,41.0,59.0,,,3.0,6.0,4.0,6.0,1.0,4.0,,,7.0,9.0,10.0,8.0,1.0,1.0,0.0,1.0,2.18,3.05,3.96,1.63,2.33,2.1,1.79,,,,,2.1,2.9,4.0,1.57,2.25,,,,,,,2024
Barracas Central vs Sarmiento,2024-05-19 18:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Barracas Central,Sarmiento,1,1,11,19,5.0,2.0,8.0,5.0,17.0,8.0,106.0,95.0,37.0,38.0,64.0,36.0,0.0,1.0,10.0,4.0,7.0,4.0,0.0,1.0,,,11.0,8.0,14.0,25.0,5.0,10.0,2.0,4.0,2.06,3.16,4.22,1.69,2.21,1.93,1.93,,,,,1.95,3.2,4.1,1.66,2.1,1.95,1.9,,,,,2024
Platense vs Independiente,2024-05-19 18:30:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Platense,Independiente,0,0,27,25,3.0,1.0,10.0,1.0,15.0,4.0,115.0,103.0,50.0,29.0,47.0,53.0,,,13.0,4.0,2.0,0.0,1.0,2.0,,,13.0,5.0,13.0,13.0,4.0,10.0,2.0,5.0,3.5,2.78,2.54,,,,,,,,,3.3,2.87,2.45,1.53,2.37,,,,,,,2024
Talleres Córdoba vs Atlético Tucumán,2024-05-19 20:45:00,Talleres Córdoba won after full-time.,Argentina Liga Profissional de Futebol,Talleres Córdoba,Atlético Tucumán,2,0,2,15,1.0,9.0,9.0,15.0,12.0,18.0,108.0,110.0,34.0,39.0,56.0,44.0,,,5.0,8.0,7.0,10.0,0.0,3.0,1.0,0.0,8.0,12.0,9.0,15.0,10.0,4.0,2.0,4.0,1.75,3.63,5.17,1.78,2.08,,,1.93,1.93,,,1.75,3.6,5.0,1.7,2.05,,,1.9,1.95,,,2024
