name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
AGF vs FC Midtjylland,2024-07-19 16:00:00,Game ended in draw.,Denmark Superliga,AGF,FC Midtjylland,1,1,2,6,6.0,4.0,6.0,5.0,17.0,13.0,88.0,97.0,45.0,42.0,49.0,51.0,1.0,0.0,14.0,9.0,3.0,4.0,0.0,1.0,9.0,12.0,10.0,7.0,20.0,11.0,2.0,5.0,3.0,0.0,2.57,3.57,2.71,2.43,1.58,,,,,1.84,2.04,2.55,3.5,2.6,2.2,1.61,,,,,1.82,2.02,2024-2025
Nordsjælland vs Aalborg BK,2024-07-19 18:00:00,Nordsjælland venceu após o tempo regulamentar.,Denmark Superliga,Nordsjælland,Aalborg BK,3,0,7,1,2.0,6.0,7.0,8.0,19.0,15.0,84.0,101.0,44.0,46.0,50.0,50.0,,,14.0,9.0,5.0,6.0,2.0,1.0,13.0,7.0,10.0,9.0,9.0,8.0,3.0,5.0,1.0,2.0,1.42,5.07,6.94,2.31,1.64,,,,,,,1.42,4.75,7.0,2.1,1.66,,,,,,,2024-2025
Silkeborg IF vs Sønderjyske Fodbold,2024-07-21 12:00:00,Silkeborg won after full-time.,Denmark Superliga,Silkeborg IF,Sønderjyske Fodbold,1,0,9,4,7.0,4.0,7.0,5.0,18.0,8.0,128.0,102.0,34.0,45.0,55.0,45.0,,,12.0,6.0,6.0,2.0,3.0,2.0,8.0,10.0,9.0,7.0,9.0,15.0,3.0,3.0,0.0,1.0,2.31,3.35,3.25,2.13,1.74,,,,,1.91,1.95,2.3,3.2,3.2,2.05,1.7,,,,,1.97,1.87,2024-2025
Vejle Boldklub vs Randers FC,2024-07-21 14:00:00,Randers won after full-time.,Denmark Superliga,Vejle Boldklub,Randers FC,2,3,8,5,6.0,10.0,4.0,7.0,8.0,15.0,51.0,67.0,21.0,30.0,54.0,46.0,0.0,1.0,2.0,9.0,6.0,6.0,0.0,1.0,7.0,12.0,7.0,9.0,16.0,6.0,0.0,2.0,2.0,1.0,3.72,3.47,2.07,2.04,1.81,,,,,2.03,1.84,3.8,3.4,2.0,1.95,1.8,,,,,2.02,1.82,2024-2025
Viborg FF vs Brøndby IF,2024-07-21 16:00:00,Game ended in draw.,Denmark Superliga,Viborg FF,Brøndby IF,3,3,6,10,4.0,7.0,1.0,11.0,8.0,26.0,57.0,151.0,24.0,84.0,35.0,65.0,,,8.0,18.0,0.0,8.0,1.0,0.0,13.0,0.0,5.0,17.0,8.0,4.0,8.0,2.0,1.0,0.0,3.89,3.58,1.98,2.33,1.63,,,,,,,3.75,3.5,1.95,2.1,1.66,,,,,,,2024-2025
Lyngby Boldklub vs FC Copenhague,2024-07-22 17:00:00,FC Copenhague venceu após o tempo regulamentar.,Denmark Superliga,Lyngby Boldklub,FC København,0,2,9,8,3.0,4.0,5.0,6.0,11.0,10.0,105.0,101.0,59.0,43.0,46.0,54.0,,,7.0,7.0,4.0,3.0,1.0,5.0,5.0,9.0,4.0,7.0,15.0,12.0,2.0,2.0,2.0,2.0,7.36,4.85,1.42,2.17,1.72,,,,,,,6.5,4.75,1.44,2.0,1.75,,,,,,,2024-2025
Sønderjyske Fodbold vs Lyngby Boldklub,2024-07-26 17:00:00,Game ended in draw.,Denmark Superliga,Sønderjyske Fodbold,Lyngby Boldklub,1,1,10,11,6.0,4.0,11.0,4.0,20.0,8.0,116.0,100.0,68.0,38.0,58.0,42.0,,,11.0,5.0,9.0,3.0,1.0,3.0,7.0,11.0,13.0,4.0,13.0,9.0,0.0,3.0,3.0,1.0,2.01,3.42,4.0,2.01,1.83,,,,,2.05,1.83,2.0,3.4,3.9,1.95,1.8,,,,,2.05,1.8,2024-2025
Nordsjælland vs FC Midtjylland,2024-07-27 14:00:00,Game ended in draw.,Denmark Superliga,Nordsjælland,FC Midtjylland,2,2,1,7,3.0,3.0,1.0,5.0,3.0,10.0,102.0,94.0,43.0,46.0,66.0,34.0,,,3.0,6.0,0.0,3.0,2.0,1.0,7.0,3.0,4.0,6.0,5.0,10.0,0.0,1.0,,,1.93,3.92,3.73,2.56,1.53,,,,,,,1.9,3.8,3.6,2.25,1.57,,,,,,,2024-2025
Randers FC vs Viborg FF,2024-07-28 12:00:00,Randers won after full-time.,Denmark Superliga,Randers FC,Viborg FF,3,1,3,6,5.0,8.0,2.0,4.0,7.0,13.0,81.0,156.0,47.0,64.0,36.0,64.0,,,6.0,10.0,1.0,2.0,1.0,1.0,8.0,2.0,4.0,8.0,14.0,11.0,1.0,1.0,1.0,2.0,2.15,3.55,3.42,2.43,1.58,,,,,,,2.0,3.5,3.5,2.25,1.57,,,,,,,2024-2025
Aalborg BK vs Silkeborg IF,2024-07-28 14:00:00,AaB venceu após o tempo regulamentar.,Denmark Superliga,Aalborg BK,Silkeborg IF,2,1,12,4,5.0,11.0,4.0,8.0,11.0,18.0,106.0,94.0,32.0,49.0,49.0,51.0,,,6.0,10.0,5.0,8.0,2.0,0.0,11.0,10.0,9.0,12.0,14.0,7.0,5.0,2.0,1.0,1.0,2.94,3.49,2.43,2.26,1.67,,,,,1.84,1.95,2.87,3.5,2.35,2.1,1.66,,,,,1.82,2.02,2024-2025
