team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alianza Petrolera,1.42,1.05,5.42,4.68,6.11,6.42,14.53,13.63,93.68,91.26,45.47,43.42,52.37,47.63,0.37,0.16,9.26,6.84,5.26,6.79,1.94,1.17,9.09,10.55,7.84,6.53,12.21,10.58,3.05,3.79,2.63,2.42,0.42,0.32,0.3,0.51,0.53,,,,,,,0.43,0.31,0.31,0.57,0.52,0.55,0.5,0.5,0.54,0.49,0.55,Colombia Liga BetPlay,2023,1.15,0.6,6.25,4.85,7.9,5.15,15.65,9.6,109.3,78.2,52.2,37.3,57.25,42.75,0.15,0.1,8.15,4.9,7.5,4.7,1.45,1.8,9.55,10.64,8.9,5.0,12.3,12.65,2.25,3.6,2.55,2.75,0.54,0.29,0.21,0.49,0.55,,,,,0.49,0.54,0.56,0.28,0.21,0.57,0.51,0.53,0.51,0.53,0.52,0.52,0.53
América de Cali,1.71,0.83,5.75,3.54,7.42,5.33,16.25,10.0,113.08,78.88,53.42,33.75,57.71,42.29,0.29,0.42,8.92,5.58,7.33,4.42,1.88,1.96,7.14,9.93,9.0,6.33,11.12,11.12,2.54,4.08,2.33,3.12,0.55,0.28,0.2,0.51,0.54,,,0.52,0.53,,,0.55,0.28,0.22,0.56,0.52,0.57,0.47,0.53,0.51,0.5,0.54,Colombia Liga BetPlay,2023,1.38,1.42,4.58,4.08,6.04,5.79,13.25,11.62,88.75,97.96,43.38,43.62,48.04,51.92,0.25,0.21,6.62,5.83,6.62,5.79,2.21,1.54,9.83,11.5,7.67,6.62,10.75,11.58,1.58,3.0,3.04,2.92,0.38,0.31,0.34,0.53,0.51,,,0.5,0.55,0.5,0.55,0.39,0.31,0.36,0.55,0.54,0.54,0.5,0.52,0.52,0.52,0.52
Atlético Bucaramanga,1.11,0.89,5.06,4.33,6.5,7.17,13.94,13.22,100.39,95.67,41.39,42.44,52.78,47.22,0.17,0.33,6.06,6.44,7.89,6.78,1.89,1.33,9.27,9.64,8.11,7.94,10.28,13.11,2.67,3.67,2.89,2.89,0.43,0.32,0.29,0.5,0.55,,,,,0.49,0.55,0.47,0.31,0.28,0.58,0.5,0.54,0.51,0.51,0.53,0.55,0.49,Colombia Liga BetPlay,2023,1.22,0.72,6.56,3.94,8.0,4.78,17.44,10.06,109.33,79.72,59.78,33.0,55.94,44.0,0.12,0.0,10.61,4.22,6.83,5.83,1.72,2.11,7.33,10.0,9.06,5.0,10.11,10.33,2.22,4.44,2.22,2.56,0.55,0.28,0.2,0.49,0.56,,,,,,,0.59,0.28,0.19,0.59,0.5,0.55,0.5,0.52,0.52,0.5,0.54
Atlético Huila,1.11,1.11,5.83,5.22,5.28,4.78,12.06,10.89,91.94,94.11,47.17,44.78,49.11,50.89,0.17,0.17,6.5,6.33,5.56,4.56,2.24,1.47,8.18,9.0,6.17,5.39,12.06,11.94,2.28,3.06,2.39,3.06,0.36,0.31,0.36,0.5,0.54,,,0.53,0.51,,,0.38,0.31,0.36,0.57,0.51,0.54,0.5,0.51,0.54,0.51,0.53,Colombia Liga BetPlay,2023,1.72,0.56,6.39,3.89,7.06,5.22,16.89,10.39,101.89,85.94,48.28,38.11,55.72,44.28,0.22,0.17,9.44,4.94,7.44,5.44,1.39,1.78,9.38,11.54,10.33,5.94,11.0,9.33,2.89,4.06,1.78,2.22,0.61,0.26,0.16,0.47,0.57,,,,,,,0.63,0.26,0.16,0.6,0.48,0.53,0.51,0.52,0.52,0.52,0.52
Atlético Nacional,1.68,0.84,5.4,5.28,6.6,5.72,15.84,12.48,104.8,92.04,48.32,44.36,50.32,49.64,0.32,0.12,7.52,6.12,8.32,6.36,1.16,2.92,9.07,9.2,8.88,6.29,9.84,9.2,3.16,3.96,2.08,2.48,0.53,0.29,0.22,0.5,0.55,,,0.56,0.5,,,0.53,0.28,0.24,0.58,0.5,0.55,0.5,0.52,0.52,0.5,0.54,Colombia Liga BetPlay,2023,1.04,1.0,5.96,5.24,6.56,6.16,13.36,12.64,104.88,84.52,49.16,35.72,57.6,42.4,0.28,0.2,7.52,6.24,5.84,6.4,2.79,1.33,8.62,10.69,7.67,7.88,10.84,9.64,3.16,2.92,2.44,2.72,0.42,0.31,0.3,0.52,0.52,,,0.53,0.5,,,0.44,0.31,0.31,0.56,0.53,0.55,0.49,0.52,0.52,0.5,0.55
Boyacá Chicó,1.14,0.81,5.67,3.9,7.43,5.24,13.95,10.29,105.33,83.0,53.43,39.29,54.48,45.52,0.05,0.1,6.9,5.33,7.05,4.95,1.57,2.52,7.09,11.45,7.43,5.33,10.38,11.38,2.38,2.81,1.38,2.48,0.43,0.33,0.28,0.47,0.57,,,0.5,0.55,,,0.43,0.32,0.31,0.6,0.48,0.53,0.52,0.49,0.55,0.49,0.56,Colombia Liga BetPlay,2023,1.35,0.55,6.0,4.05,6.25,5.45,14.25,10.9,98.0,78.1,43.7,26.35,60.35,39.65,0.3,0.1,8.0,4.6,6.25,6.3,3.1,1.55,8.67,10.2,8.45,5.8,12.75,9.8,2.5,3.8,2.1,1.85,0.53,0.3,0.2,0.45,0.59,,,0.48,0.55,,,0.55,0.3,0.21,0.62,0.46,0.52,0.52,0.5,0.54,0.49,0.56
Deportes Tolima,1.65,1.0,5.55,4.4,5.95,5.1,14.85,11.15,102.9,85.2,50.45,33.7,54.4,45.6,0.1,0.4,8.85,5.2,6.0,5.95,1.53,0.84,8.55,9.09,8.6,6.3,14.9,11.4,2.9,3.85,2.85,2.4,0.53,0.29,0.21,0.5,0.55,,,0.54,0.49,,,0.54,0.29,0.23,0.58,0.5,0.53,0.51,0.53,0.52,0.5,0.54,Colombia Liga BetPlay,2023,1.29,1.05,5.86,4.86,7.0,5.57,15.86,12.86,100.76,92.0,51.81,50.24,51.67,48.29,0.24,0.29,7.43,7.14,8.43,5.71,1.16,2.47,7.92,9.77,8.3,7.75,10.95,12.14,3.67,4.24,2.43,3.05,0.41,0.32,0.3,0.5,0.55,,,0.53,0.51,,,0.43,0.31,0.31,0.58,0.5,0.52,0.52,0.51,0.53,0.5,0.54
Deportivo Cali,1.14,0.71,5.57,3.71,6.0,6.48,13.71,12.76,90.05,101.95,47.38,44.24,49.29,50.71,0.3,0.1,8.76,6.62,4.95,6.14,2.38,1.19,9.0,8.75,7.45,7.15,13.43,11.76,2.9,3.57,2.9,3.0,0.45,0.31,0.28,0.5,0.55,,,0.48,0.55,,,0.47,0.3,0.29,0.58,0.5,0.54,0.5,0.52,0.53,0.5,0.54,Colombia Liga BetPlay,2023,2.1,1.1,4.1,6.0,5.5,4.9,13.95,11.9,95.55,90.15,41.95,38.65,52.2,47.75,0.15,0.2,7.4,6.85,6.55,5.05,1.45,1.75,7.31,9.77,9.05,6.9,12.1,9.55,2.8,3.8,2.45,2.7,0.49,0.3,0.25,0.51,0.54,,,,,,,0.49,0.29,0.28,0.57,0.51,0.56,0.48,0.51,0.53,0.51,0.53
Deportivo Pasto,1.3,0.6,4.75,5.25,7.4,6.65,14.55,12.75,92.85,99.85,50.6,48.65,47.05,52.9,0.37,0.11,8.2,5.45,6.35,7.3,2.05,0.74,11.0,10.85,9.26,7.21,11.35,12.8,2.9,3.6,2.1,2.4,0.46,0.31,0.26,0.48,0.57,,,0.54,0.49,0.48,0.55,0.49,0.3,0.27,0.59,0.49,0.54,0.51,0.5,0.54,0.53,0.52,Colombia Liga BetPlay,2023,1.42,0.68,6.47,3.68,8.11,5.58,17.47,11.26,113.26,78.53,59.74,37.95,59.63,40.37,0.16,0.16,9.63,5.32,7.84,5.95,1.74,1.37,8.0,10.42,9.58,6.11,13.11,10.11,2.74,4.16,2.32,2.79,0.5,0.3,0.23,0.48,0.56,,,,,,,0.51,0.3,0.24,0.59,0.49,0.54,0.5,0.51,0.53,0.49,0.55
Deportivo Pereira,1.44,1.33,5.78,3.89,6.56,6.17,14.67,10.78,98.0,84.83,41.5,34.06,52.5,47.5,0.17,0.17,7.56,4.56,7.11,6.22,1.83,1.61,8.92,9.5,8.06,6.94,11.72,10.33,1.83,3.44,2.39,2.17,0.46,0.3,0.27,0.5,0.55,,,,,0.49,0.54,0.48,0.3,0.27,0.58,0.5,0.54,0.5,0.51,0.53,0.52,0.52,Colombia Liga BetPlay,2023,1.35,0.82,4.76,3.94,5.65,5.0,12.41,11.18,89.82,87.06,36.0,33.59,49.29,50.71,0.24,0.35,6.59,5.18,5.82,6.0,1.65,1.59,8.89,9.33,8.12,6.29,12.12,12.29,2.82,3.18,3.18,2.94,0.48,0.31,0.25,0.49,0.56,,,,,,,0.49,0.3,0.26,0.59,0.49,0.54,0.51,0.51,0.54,0.51,0.53
