team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id
Danubio,,,,100.22,100.22,3708,,,,,,46.7,46.7,1728,5.14,5.14,190,65.89,65.89,2438,13.76,13.76,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.41,52,,,,,50.0,2.0,2.0,,,,0.14,0.14,0.0,0.0,5.0,257184.0,,268,7.24,11,0.0,156,110,0.0,,268,,,,,,,,,,,2.68,2.68,0,0.0,99,2170281,0.19,0.19,0.0,0.0,7.0,3728.0
Patronato,,,,82.9,82.9,3399,,,,,,37.8,37.8,1550,5.41,5.41,222,50.78,50.78,2082,14.37,14.37,589,,,,,,,,,,,,,,,,,,215656.0,7.42,,,,,,,,,1.9,1.9,78,,,,,62.5,3.0,5.0,,,,0.1,0.1,1.0,0.02,4.0,215656.0,,466,11.37,25,287.0,251,173,255.0,,466,16.07,16.07,659.0,,,,,,,,2.8,2.8,1,0.02,115,216673,0.12,0.12,0.0,0.0,5.0,215656.0
Argentinos Juniors,,,,82.09,82.09,3530,,,,,,46.74,46.74,2010,4.79,4.79,206,45.21,45.21,1944,11.58,11.58,498,,,,,,,,,,,,,,,,,,214751.0,7.35,,,,,,,,,1.42,1.42,61,,,,,83.33,1.0,5.0,,,,0.02,0.02,0.0,0.0,1.0,36083094.0,,500,11.63,15,315.0,291,181,233.0,,500,15.63,15.63,672.0,,,,,,,,2.16,2.16,0,0.0,93,214751,0.05,0.05,0.0,0.0,2.0,214751.0
Sarmiento,,,,72.8,72.8,2985,,,,,,31.59,31.59,1295,3.98,3.98,163,38.41,38.41,1575,11.71,11.71,480,,,,,,,,,,,,,,,,,,438698.0,7.45,,,,,,,,,1.46,1.46,60,,,,,88.89,1.0,8.0,,,,0.05,0.05,0.0,0.0,2.0,216175.0,,374,9.12,20,240.0,197,149,195.0,,374,14.1,14.1,578.0,,,,,,,,3.07,3.07,2,0.05,126,213296,0.05,0.05,0.0,0.0,2.0,260934.0
Atlético Tucumán,,,,73.41,73.41,3010,,,,,,36.78,36.78,1508,4.88,4.88,200,45.0,45.0,1845,11.07,11.07,454,,,,,,,,,,,,,,,,,,333483.0,8.16,,,,,,,,,1.41,1.41,58,,,,,62.5,3.0,5.0,,,,0.15,0.15,,,6.0,,,423,10.32,23,273.0,235,159,243.0,,423,15.54,15.54,637.0,,,,,,,,2.88,2.88,1,0.02,118,214570,0.15,0.15,0.0,0.0,6.0,214111.0
Newell's Old Boys,,,,71.1,71.1,2915,,,,,,39.83,39.83,1633,4.07,4.07,167,42.56,42.56,1745,12.85,12.85,527,,,,,,,,,,,,,,,,,,5640868.0,7.45,,,,,,,,,1.56,1.56,64,,,,,60.0,2.0,3.0,,,,0.1,0.1,0.0,0.0,4.0,187016.0,,415,10.12,11,278.0,243,158,231.0,,415,14.78,14.78,606.0,,,,,,,,2.95,2.95,1,0.02,121,187016,0.05,0.05,0.0,0.0,2.0,246705.0
Defensa y Justicia,,,,79.88,79.88,3355,,,,,,33.24,33.24,1396,4.0,4.0,168,48.43,48.43,2034,9.38,9.38,394,,,,,,,,,,,,,,,,,,333895.0,8.06,,,,,,,,,1.38,1.38,58,,,,,80.0,1.0,4.0,,,,0.12,0.12,0.0,0.0,5.0,37261275.0,,446,10.62,15,300.0,229,182,200.0,,446,15.69,15.69,659.0,,,,,,,,2.02,2.02,1,0.02,85,9302267,0.1,0.1,0.0,0.0,4.0,154753.0
Central Cordoba SdE,,,,75.61,75.61,3100,,,,,,39.49,39.49,1619,3.68,3.68,151,46.34,46.34,1900,9.2,9.2,377,,,,,,,,,,,,,,,,,,257717.0,7.89,,,,,,,,,1.8,1.8,74,,,,,66.67,3.0,6.0,,,,0.1,0.1,0.0,0.0,4.0,98972.0,,398,9.71,17,264.0,214,176,213.0,,398,16.34,16.34,670.0,,,,,,,,2.29,2.29,0,0.0,94,399007,0.02,0.02,0.0,0.0,1.0,260869.0
Barracas Central,,,,74.24,74.24,3044,,,,,,30.37,30.37,1245,3.88,3.88,159,42.29,42.29,1734,10.27,10.27,421,,,,,,,,,,,,,,,,,,443592.0,7.34,,,,,,,,,1.27,1.27,52,,,,,55.56,4.0,5.0,,,,0.07,0.07,,,3.0,,,318,7.76,8,228.0,166,159,139.0,,318,13.93,13.93,571.0,,,,,,,,2.1,2.1,0,0.0,86,398377,0.07,0.07,0.0,0.0,3.0,470863.0
Arsenal de Sarandí,,,,76.78,76.78,3148,,,,,,31.88,31.88,1307,4.76,4.76,195,40.17,40.17,1647,10.37,10.37,425,,,,,,,,,,,,,,,,,,216027.0,7.65,,,,,,,,,1.68,1.68,69,,,,,80.0,0.0,5.0,,,,0.07,0.07,0.0,0.0,3.0,212164.0,,375,9.15,10,273.0,216,145,205.0,,375,17.71,17.71,726.0,,,,,,,,2.12,2.12,0,0.0,87,212164,0.05,0.05,0.0,0.0,2.0,333345.0
Rosario Central,,,,80.2,80.2,3288,,,,,,47.66,47.66,1954,5.95,5.95,244,43.32,43.32,1776,11.44,11.44,469,,,,,,,,,,,,,,,,,,443582.0,7.85,,,,,,,,,1.37,1.37,56,,,,,50.0,4.0,4.0,,,,0.05,0.05,0.0,0.0,2.0,213157.0,,388,9.46,10,312.0,223,156,184.0,,388,17.46,17.46,716.0,,,,,,,,2.85,2.85,0,0.0,117,37547040,0.02,0.02,0.0,0.0,1.0,213157.0
Vélez Sarsfield,,,,73.68,73.68,3021,,,,,,43.15,43.15,1769,4.8,4.8,197,44.34,44.34,1818,11.85,11.85,486,,,,,,,,,,,,,,,,,,333525.0,8.06,,,,,,,,,1.2,1.2,49,,,,,87.5,1.0,7.0,,,,0.12,0.12,0.0,0.0,5.0,260839.0,,392,9.56,14,274.0,246,175,192.0,,392,18.17,18.17,745.0,,,,,,,,2.78,2.78,0,0.0,114,37418655,0.07,0.07,0.0,0.0,3.0,130176.0
Aldosivi,,,,83.64,83.64,3513,,,,,,44.19,44.19,1856,3.76,3.76,158,40.52,40.52,1702,11.33,11.33,476,,,,,,,,,,,,,,,,,,5336951.0,7.34,,,,,,,,,1.6,1.6,67,,,,,80.0,0.0,5.0,,,,0.12,0.12,0.0,0.0,5.0,37261295.0,,315,7.5,26,200.0,186,115,188.0,,315,16.17,16.17,679.0,,,,,,,,2.5,2.5,0,0.0,105,335754,0.12,0.12,0.0,0.0,5.0,37567268.0
Godoy Cruz,,,,78.34,78.34,3212,,,,,,41.98,41.98,1721,5.41,5.41,222,43.9,43.9,1800,10.24,10.24,420,,,,,,,,,,,,,,,,,,215481.0,7.85,,,,,,,,,1.22,1.22,50,,,,,75.0,0.0,4.0,,,,0.1,0.1,0.0,0.0,4.0,218138.0,,475,11.59,18,314.0,273,170,260.0,,475,15.78,15.78,647.0,,,,,,,,2.44,2.44,0,0.0,100,211937,0.2,0.2,0.0,0.0,8.0,333818.0
Tigre,,,,85.23,85.23,3750,,,,,,40.57,40.57,1785,4.82,4.82,212,44.11,44.11,1941,9.64,9.64,424,,,,,,,,,,,,,,,,,,7340309.0,7.75,,,,,,,,,1.25,1.25,55,,,,,90.0,0.0,10.0,,,,0.07,0.07,0.0,0.0,3.0,215821.0,,524,11.91,18,379.0,292,218,268.0,,524,16.77,16.77,738.0,,,,,,,,2.09,2.09,0,0.0,92,262178,0.07,0.07,0.0,0.0,3.0,37342993.0
Banfield,,,,80.85,80.85,3315,,,,,,39.68,39.68,1627,4.73,4.73,194,46.0,46.0,1886,11.71,11.71,480,,,,,,,,,,,,,,,,,,456310.0,8.06,,,,,,,,,1.44,1.44,59,,,,,71.43,2.0,5.0,,,,0.02,0.02,0.0,0.0,1.0,37261249.0,,398,9.71,20,270.0,246,153,222.0,,398,15.44,15.44,633.0,,,,,,,,2.78,2.78,0,0.0,114,213401,0.17,0.17,0.0,0.0,7.0,131820.0
San Lorenzo,,,,88.12,88.12,3613,,,,,,38.27,38.27,1569,4.59,4.59,188,45.71,45.71,1874,11.05,11.05,453,,,,,,,,,,,,,,,,,,333778.0,7.65,,,,,,,,,1.95,1.95,80,,,,,70.0,3.0,7.0,,,,0.05,0.05,0.0,0.0,2.0,25177798.0,,380,9.27,17,240.0,200,151,207.0,,380,16.68,16.68,684.0,,,,,,,,2.37,2.37,0,0.0,97,257864,0.05,0.05,0.0,0.0,2.0,236349.0
Huracán,,,,89.29,89.29,3661,,,,,,45.8,45.8,1878,5.46,5.46,224,52.9,52.9,2169,11.17,11.17,458,,,,,,,,,,,,,,,,,,189825.0,7.76,,,,,,,,,1.41,1.41,58,,,,,93.33,1.0,14.0,,,,0.1,0.1,,,4.0,,,458,11.17,16,333.0,249,182,195.0,,458,17.34,17.34,711.0,,,,,,,,2.78,2.78,0,0.0,114,402331,0.1,0.1,0.0,0.0,4.0,214702.0
Lanús,,,,86.63,86.63,3552,,,,,,36.17,36.17,1483,4.88,4.88,200,44.76,44.76,1835,10.98,10.98,450,,,,,,,,,,,,,,,,,,32809710.0,7.45,,,,,,,,,1.63,1.63,67,,,,,66.67,0.0,3.0,,,,0.17,0.17,0.0,0.0,7.0,237254.0,,387,9.44,18,264.0,191,154,167.0,,387,16.56,16.56,679.0,,,,,,,,2.9,2.9,1,0.02,119,37261257,0.05,0.05,0.0,0.0,2.0,37416814.0
Unión Santa Fe,,,,80.37,80.37,3295,,,,,,43.0,43.0,1763,6.12,6.12,251,52.1,52.1,2136,11.2,11.2,459,,,,,,,,,,,,,,,,,,260891.0,7.38,,,,,,,,,1.2,1.2,49,,,,,62.5,3.0,5.0,,,,0.07,0.07,0.0,0.0,3.0,260891.0,,413,10.07,18,316.0,209,151,166.0,,413,16.32,16.32,669.0,,,,,,,,2.85,2.85,0,0.0,117,37261251,,,,,,
River Plate,,,,97.1,97.1,4078,,,,,,53.45,53.45,2245,6.07,6.07,255,59.26,59.26,2489,10.93,10.93,459,,,,,,,,,,,,,,,,,,21394947.0,7.78,,,,,,,,,1.43,1.43,60,,,,,87.5,0.0,8.0,,,,0.07,0.07,0.0,0.0,3.0,97255.0,,551,13.12,21,351.0,278,224,277.0,,551,16.33,16.33,686.0,,,,,,,,2.33,2.33,0,0.0,98,158927,0.05,0.05,0.0,0.0,2.0,6494.0
Estudiantes,,,,82.48,82.48,3464,,,,,,37.6,37.6,1579,4.24,4.24,178,43.88,43.88,1843,10.36,10.36,435,,,,,,,,,,,,,,,,,,333814.0,7.75,,,,,,,,,1.38,1.38,58,,,,,71.43,2.0,5.0,,,,0.07,0.07,,,3.0,,,424,10.1,28,323.0,259,179,223.0,,424,14.71,14.71,618.0,,,,,,,,2.36,2.36,0,0.0,99,258015,0.07,0.07,0.0,0.0,3.0,202731.0
Independiente,,,,81.71,81.71,3350,,,,,,45.37,45.37,1860,5.39,5.39,221,42.34,42.34,1736,11.39,11.39,467,,,,,,,,,,,,,,,,,,37416742.0,7.85,,,,,,,,,1.78,1.78,73,,,,,66.67,0.0,3.0,,,,0.05,0.05,0.0,0.0,2.0,4205.0,,412,10.05,27,286.0,248,151,235.0,,412,13.39,13.39,549.0,,,,,,,,2.71,2.71,0,0.0,111,212274,0.02,0.02,0.0,0.0,1.0,108646.0
Racing Club,,,,89.23,89.23,3837,,,,,,49.4,49.4,2124,5.65,5.65,243,57.21,57.21,2460,11.23,11.23,483,,,,,,,,,,,,,,,,,,217985.0,7.55,,,,,,,,,2.12,2.12,91,,,,,60.0,4.0,6.0,,,,0.19,0.19,0.0,0.0,8.0,3533735.0,,484,11.26,31,362.0,281,225,233.0,,484,16.33,16.33,702.0,,,,,,,,2.77,2.77,0,0.0,119,29313859,0.02,0.02,0.0,0.0,1.0,218912.0
Gimnasia La Plata,,,,67.71,67.71,2776,,,,,,33.78,33.78,1385,4.83,4.83,198,45.76,45.76,1876,11.2,11.2,459,,,,,,,,,,,,,,,,,,394257.0,8.06,,,,,,,,,1.46,1.46,60,,,,,80.0,2.0,8.0,,,,0.07,0.07,0.0,0.0,3.0,394257.0,,463,11.29,36,272.0,226,190,269.0,,463,18.1,18.1,742.0,,,,,,,,2.63,2.63,1,0.02,108,214532,0.0,0.0,1.0,0.02,0.0,
Platense,,,,76.2,76.2,3124,,,,,,37.34,37.34,1531,4.93,4.93,202,43.63,43.63,1789,11.22,11.22,460,,,,,,,,,,,,,,,,,,260562.0,7.35,,,,,,,,,1.41,1.41,58,,,,,80.0,1.0,4.0,,,,0.12,0.12,1.0,0.02,5.0,334133.0,,331,8.07,22,257.0,202,143,195.0,,331,16.27,16.27,667.0,,,,,,,,2.59,2.59,2,0.05,106,334023,0.07,0.07,0.0,0.0,3.0,214637.0
Talleres Córdoba,,,,84.29,84.29,3456,,,,,,41.93,41.93,1719,4.83,4.83,198,43.32,43.32,1776,10.32,10.32,423,,,,,,,,,,,,,,,,,,238148.0,7.42,,,,,,,,,1.61,1.61,66,,,,,66.67,2.0,4.0,,,,0.12,0.12,0.0,0.0,5.0,70337.0,,414,10.1,20,281.0,247,141,205.0,,414,14.02,14.02,575.0,,,,,,,,2.56,2.56,1,0.02,105,444666,0.15,0.15,0.0,0.0,6.0,444666.0
Boca Juniors,,,,84.36,84.36,3712,,,,,,46.93,46.93,2065,5.2,5.2,229,41.23,41.23,1814,11.39,11.39,501,,,,,,,,,,,,,,,,,,37577852.0,7.85,,,,,,,,,1.25,1.25,55,,,,,62.5,3.0,5.0,,,,0.07,0.07,0.0,0.0,3.0,1876.0,,439,9.98,12,280.0,241,201,223.0,,439,15.16,15.16,667.0,,,,,,,,3.14,3.14,1,0.02,138,333391,0.05,0.05,0.0,0.0,2.0,236162.0
Club Atletico Colón,,,,88.93,88.93,3646,,,,,,34.73,34.73,1424,4.29,4.29,176,41.54,41.54,1703,9.27,9.27,380,,,,,,,,,,,,,,,,,,37547004.0,7.45,,,,,,,,,2.46,2.46,101,,,,,80.0,2.0,8.0,,,,0.15,0.15,0.0,0.0,6.0,796.0,,417,10.17,7,304.0,243,140,181.0,,417,15.56,15.56,638.0,,,,,,,,2.17,2.17,0,0.0,89,211959,0.02,0.02,0.0,0.0,1.0,211959.0
Kawasaki Frontale,,,,84.0,84.0,2856,,,,,,55.65,55.65,1892,4.44,4.44,151,55.0,55.0,1870,8.91,8.91,303,,,,,,,,,,,,,,,,,,186055.0,7.55,,,,,,,,,1.94,1.94,66,,,,,83.33,0.0,6.0,,,,0.12,0.12,0.0,0.0,4.0,37527786.0,,349,10.26,30,262.0,161,175,163.0,,349,12.65,12.65,430.0,,,,,,,,1.15,1.15,0,0.0,39,159759,,,,,,
FC Tokyo,,,,75.03,75.03,2551,,,,,,53.59,53.59,1822,4.79,4.79,163,51.18,51.18,1740,9.79,9.79,333,,,,,,,,,,,,,,,,,,37336134.0,7.65,,,,,,,,,1.53,1.53,52,,,,,66.67,0.0,3.0,,,,0.06,0.06,,,2.0,,,332,9.76,5,222.0,175,146,159.0,,332,11.59,11.59,394.0,,,,,,,,1.21,1.21,1,0.03,41,154743,0.06,0.06,0.0,0.0,2.0,309173.0
Yokohama F. Marinos,,,,98.0,98.0,3332,,,,,,60.21,60.21,2047,5.82,5.82,198,62.44,62.44,2123,10.88,10.88,370,,,,,,,,,,,,,,,,,,53803.0,7.65,,,,,,,,,1.47,1.47,50,,,,,75.0,1.0,3.0,,,,0.06,0.06,0.0,0.0,2.0,219365.0,,446,13.12,20,321.0,215,195,202.0,,446,10.94,10.94,372.0,,,,,,,,0.94,0.94,0,0.0,32,53803,0.03,0.03,0.0,0.0,1.0,318994.0
Cerezo Osaka,,,,71.47,71.47,2430,,,,,,49.18,49.18,1672,4.79,4.79,163,50.09,50.09,1703,7.94,7.94,270,,,,,,,,,,,,,,,,,,766688.0,7.34,,,,,,,,,1.56,1.56,53,,,,,66.67,0.0,3.0,,,,0.12,0.12,0.0,0.0,4.0,309976.0,,345,10.15,24,276.0,191,156,170.0,,345,12.56,12.56,427.0,,,,,,,,0.79,0.79,0,0.0,27,309748,,,,,,
Shimizu S-Pulse,,,,63.68,63.68,2165,,,,,,45.35,45.35,1542,3.85,3.85,131,41.18,41.18,1400,8.5,8.5,289,,,,,,,,,,,,,,,,,,28944227.0,7.48,,,,,,,,,0.94,0.94,32,,,,,0.0,0.0,1.0,,,,,,,,,,,308,9.06,11,254.0,176,144,154.0,,308,10.74,10.74,365.0,,,,,,,,0.71,0.71,0,0.0,24,318878,,,,,,
Consadole Sapporo,,,,79.12,79.12,2690,,,,,,52.53,52.53,1786,4.0,4.0,136,50.68,50.68,1723,11.47,11.47,390,,,,,,,,,,,,,,,,,,220122.0,7.43,,,,,,,,,1.53,1.53,52,,,,,33.33,2.0,1.0,,,,0.15,0.15,0.0,0.0,5.0,219158.0,,391,11.5,10,281.0,203,144,159.0,,391,11.18,11.18,380.0,,,,,,,,1.41,1.41,0,0.0,48,308595,,,,,,
Kyoto Sanga,,,,76.79,76.79,2611,,,,,,47.09,47.09,1601,4.26,4.26,145,41.0,41.0,1394,12.18,12.18,414,,,,,,,,,,,,,,,,,,460143.0,9.08,,,,,,,,,1.26,1.26,43,,,,,50.0,1.0,1.0,,,,0.06,0.06,0.0,0.0,2.0,309939.0,,319,9.38,13,220.0,169,109,147.0,,319,12.18,12.18,414.0,,,,,,,,1.53,1.53,0,0.0,52,37468298,0.03,0.03,0.0,0.0,1.0,12790052.0
Urawa Reds,,,,80.29,80.29,2730,,,,,,53.47,53.47,1818,4.97,4.97,169,50.59,50.59,1720,7.18,7.18,244,,,,,,,,,,,,,,,,,,309982.0,7.45,,,,,,,,,1.09,1.09,37,,,,,88.89,1.0,8.0,,,,0.03,0.03,0.0,0.0,1.0,37429229.0,,343,10.09,22,292.0,193,160,165.0,,343,10.68,10.68,363.0,,,,,,,,0.68,0.68,0,0.0,23,31684,0.06,0.06,0.0,0.0,2.0,309982.0
Gamba Osaka,,,,75.47,75.47,2566,,,,,,45.18,45.18,1536,3.47,3.47,118,44.97,44.97,1529,10.35,10.35,352,,,,,,,,,,,,,,,,,,309099.0,7.33,,,,,,,,,1.38,1.38,47,,,,,,,,,,,0.06,0.06,0.0,0.0,2.0,218729.0,,329,9.68,14,202.0,172,115,153.0,,329,12.32,12.32,419.0,,,,,,,,1.29,1.29,0,0.0,44,460893,0.03,0.03,0.0,0.0,1.0,307771.0
Kashima Antlers,,,,87.32,87.32,2969,,,,,,51.47,51.47,1750,4.59,4.59,156,52.47,52.47,1784,10.74,10.74,365,,,,,,,,,,,,,,,,,,310127.0,7.36,,,,,,,,,1.91,1.91,65,,,,,66.67,1.0,2.0,,,,0.03,0.03,0.0,0.0,1.0,226993.0,,361,10.62,17,240.0,203,142,188.0,,361,13.91,13.91,473.0,,,,,,,,1.35,1.35,0,0.0,46,226993,0.03,0.03,0.0,0.0,1.0,310108.0
Sanfrecce Hiroshima,,,,72.88,72.88,2478,,,,,,51.82,51.82,1762,5.0,5.0,170,58.62,58.62,1993,11.0,11.0,374,,,,,,,,,,,,,,,,,,309474.0,7.64,,,,,,,,,1.82,1.82,62,,,,,66.67,1.0,2.0,,,,0.06,0.06,0.0,0.0,2.0,309626.0,,420,12.35,16,276.0,221,163,204.0,,420,14.09,14.09,479.0,,,,,,,,0.91,0.91,0,0.0,31,309474,,,,,,
Sagan Tosu,,,,73.88,73.88,2512,,,,,,53.59,53.59,1822,4.47,4.47,152,52.82,52.82,1796,12.35,12.35,420,,,,,,,,,,,,,,,,,,13647009.0,7.12,,,,,,,,,2.03,2.03,69,,,,,50.0,1.0,1.0,,,,,,,,,,,306,9.0,17,219.0,167,115,135.0,,306,12.38,12.38,421.0,,,,,,,,1.15,1.15,0,0.0,39,219710,,,,,,
Avispa Fukuoka,,,,69.21,69.21,2353,,,,,,42.79,42.79,1455,4.06,4.06,138,47.65,47.65,1620,12.71,12.71,432,,,,,,,,,,,,,,,,,,319359.0,7.15,,,,,,,,,1.15,1.15,39,,,,,50.0,1.0,1.0,,,,0.06,0.06,0.0,0.0,2.0,218477.0,,271,7.97,10,208.0,150,96,102.0,,271,11.71,11.71,398.0,,,,,,,,1.5,1.5,0,0.0,51,108645,,,,,,
Júbilo Iwata,,,,73.62,73.62,2503,,,,,,45.26,45.26,1539,3.53,3.53,120,44.85,44.85,1525,9.18,9.18,312,,,,,,,,,,,,,,,,,,37445116.0,7.34,,,,,,,,,1.41,1.41,48,,,,,0.0,0.0,1.0,,,,0.09,0.09,0.0,0.0,3.0,237492.0,,258,7.59,12,221.0,153,108,97.0,,258,12.71,12.71,432.0,,,,,,,,1.35,1.35,0,0.0,46,24739,0.03,0.03,0.0,0.0,1.0,12790130.0
Jeonbuk Motors,,,,88.11,88.11,3348,,,,,,52.45,52.45,1993,4.21,4.21,160,58.76,58.76,2233,10.63,10.63,404,,,,,,,,,,,,,,,,,,310247.0,7.65,,,,,,,,,1.87,1.87,71,,,,,75.0,2.0,6.0,,,,0.03,0.03,0.0,0.0,1.0,31991.0,,329,8.66,51,281.0,177,168,156.0,,329,10.32,10.32,392.0,,,,,,,,1.61,1.61,0,0.0,61,32113,,,,,,
Suwon,,,,90.89,90.89,3454,,,,,,46.61,46.61,1771,3.84,3.84,146,52.87,52.87,2009,9.34,9.34,355,,,,,,,,,,,,,,,,,,319995.0,8.06,,,,,,,,,0.82,0.82,31,,,,,25.0,3.0,1.0,,,,0.05,0.05,0.0,0.0,2.0,320986.0,,323,8.5,75,255.0,184,143,172.0,,323,10.97,10.97,417.0,,,,,,,,1.32,1.32,0,0.0,50,537051,0.03,0.03,0.0,0.0,1.0,31815.0
Shonan Bellmare,,,,72.0,72.0,2448,,,,,,46.82,46.82,1592,5.15,5.15,175,51.59,51.59,1754,10.88,10.88,370,,,,,,,,,,,,,,,,,,474049.0,7.34,,,,,,,,,1.71,1.71,58,,,,,0.0,0.0,1.0,,,,0.03,0.03,0.0,0.0,1.0,458532.0,,319,9.38,8,246.0,199,132,166.0,,319,11.91,11.91,405.0,,,,,,,,0.97,0.97,0,0.0,33,308762,0.09,0.09,0.0,0.0,3.0,310191.0
Kashiwa Reysol,,,,71.56,71.56,2433,,,,,,46.15,46.15,1569,3.97,3.97,135,46.53,46.53,1582,10.47,10.47,356,,,,,,,,,,,,,,,,,,319157.0,7.28,,,,,,,,,1.06,1.06,36,,,,,66.67,0.0,3.0,,,,0.03,0.03,,,1.0,,,302,8.88,13,240.0,168,134,146.0,,302,11.82,11.82,402.0,,,,,,,,1.56,1.56,0,0.0,53,221458,0.03,0.03,0.0,0.0,1.0,21413490.0
Nagoya Grampus,,,,76.88,76.88,2614,,,,,,45.06,45.06,1532,4.68,4.68,159,50.65,50.65,1722,8.91,8.91,303,,,,,,,,,,,,,,,,,,223172.0,7.38,,,,,,,,,1.85,1.85,63,,,,,50.0,0.0,2.0,,,,0.09,0.09,0.0,0.0,3.0,309252.0,,323,9.5,9,219.0,182,127,159.0,,323,12.44,12.44,423.0,,,,,,,,0.94,0.94,0,0.0,32,37422937,,,,,,
Vissel Kobe,,,,81.09,81.09,2757,,,,,,54.79,54.79,1863,5.38,5.38,183,54.38,54.38,1849,8.21,8.21,279,,,,,,,,,,,,,,,,,,30978162.0,7.48,,,,,,,,,1.79,1.79,61,,,,,66.67,1.0,2.0,,,,0.09,0.09,0.0,0.0,3.0,309368.0,,327,9.62,28,277.0,180,135,137.0,,327,11.38,11.38,387.0,,,,,,,,0.85,0.85,0,0.0,29,262622,,,,,,
Daegu,,,,82.53,82.53,3136,,,,,,40.71,40.71,1547,3.68,3.68,140,58.58,58.58,2226,13.42,13.42,510,,,,,,,,,,,,,,,,,,158193.0,8.16,,,,,,,,,1.45,1.45,55,,,,,80.0,1.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,326409.0,,387,10.18,75,277.0,207,152,186.0,,387,13.76,13.76,523.0,,,,,,,,2.29,2.29,0,0.0,87,37472137,0.03,0.03,0.0,0.0,1.0,37563542.0
Seoul,,,,109.24,109.24,4151,,,,,,60.21,60.21,2288,5.18,5.18,197,71.79,71.79,2728,9.71,9.71,369,,,,,,,,,,,,,,,,,,12109876.0,7.32,,,,,,,,,1.42,1.42,54,,,,,85.71,1.0,6.0,,,,0.03,0.03,0.0,0.0,1.0,37621115.0,,370,9.74,73,303.0,199,157,173.0,,370,10.87,10.87,413.0,,,,,,,,1.87,1.87,0,0.0,71,1452903,0.03,0.03,0.0,0.0,1.0,751169.0
Incheon United,,,,83.0,83.0,3154,,,,,,44.29,44.29,1683,4.13,4.13,157,55.11,55.11,2094,10.82,10.82,411,,,,,,,,,,,,,,,,,,21116993.0,8.42,,,,,,,,,1.45,1.45,55,,,,,80.0,0.0,5.0,,,,0.05,0.05,0.0,0.0,2.0,319822.0,,292,7.68,66,222.0,157,136,171.0,,292,12.5,12.5,475.0,,,,,,,,1.61,1.61,0,0.0,61,787560,0.03,0.03,0.0,0.0,1.0,787528.0
Suwon Bluewings,,,,84.84,84.84,3224,,,,,,46.37,46.37,1762,4.16,4.16,158,57.5,57.5,2185,9.74,9.74,370,,,,,,,,,,,,,,,,,,301696.0,9.08,,,,,,,,,1.21,1.21,46,,,,,57.14,3.0,4.0,,,,0.13,0.13,,,5.0,,,291,7.66,61,278.0,194,145,142.0,,291,11.26,11.26,428.0,,,,,,,,1.87,1.87,0,0.0,71,320245,0.13,0.13,0.0,0.0,5.0,24193.0
Jeju United,,,,93.16,93.16,3540,,,,,,53.47,53.47,2032,4.92,4.92,187,65.74,65.74,2498,9.34,9.34,355,,,,,,,,,,,,,,,,,,312999.0,7.55,,,,,,,,,1.55,1.55,59,,,,,71.43,2.0,5.0,,,,0.03,0.03,0.0,0.0,1.0,21072791.0,,370,9.74,88,315.0,208,177,184.0,,370,12.11,12.11,460.0,,,,,,,,1.63,1.63,0,0.0,62,320507,0.03,0.03,0.0,0.0,1.0,320684.0
