team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id
Once Caldas,,,,103.95,103.95,4158,,,,,,49.88,49.88,1995,4.63,4.63,185,75.78,75.78,3031,11.43,11.43,457,,,,,,,,,,,,,,,,,,240405.0,7.45,,,,,,,,,1.85,1.85,74,,,,,90.0,1.0,9.0,,,,0.1,0.1,0.0,0.0,4.0,235454.0,,321,8.03,30,275.0,196,148,271.0,,321,14.4,14.4,576.0,,,,,,,,2.6,2.6,0,0.0,104,37553687,0.08,0.08,0.0,0.0,3.0,235820.0
Unión Magdalena,,,,99.83,99.83,3993,,,,,,47.38,47.38,1895,3.5,3.5,140,67.85,67.85,2714,10.35,10.35,414,,,,,,,,,,,,,,,,,,237990.0,7.85,,,,,,,,,1.43,1.43,57,,,,,80.0,0.0,5.0,,,,0.18,0.18,0.0,0.0,7.0,236865.0,,255,6.38,14,175.0,175,96,222.0,,255,11.05,11.05,442.0,,,,,,,,3.23,3.23,0,0.0,129,239435,0.1,0.1,0.0,0.0,4.0,235664.0
Junior FC,,,,97.42,97.42,5066,,,,,,53.88,53.88,2802,4.79,4.79,249,67.65,67.65,3518,11.56,11.56,601,,,,,,,,,,,,,,,,,,283842.0,7.45,,,,,,,,,1.77,1.77,92,,,,,76.92,3.0,10.0,,,,0.1,0.1,0.0,0.0,5.0,61532.0,,425,8.17,49,374.0,252,201,266.0,,425,11.63,11.63,605.0,,,,,,,,2.88,2.88,1,0.02,150,236448,0.06,0.06,0.0,0.0,3.0,107698.0
Patriotas Boyacá,,,,103.98,103.98,4159,,,,,,47.33,47.33,1893,4.68,4.68,187,79.08,79.08,3163,9.55,9.55,382,,,,,,,,,,,,,,,,,,213829.0,7.65,,,,,,,,,1.58,1.58,63,,,,,62.5,3.0,5.0,,,,0.1,0.1,0.0,0.0,4.0,460091.0,,300,7.5,29,219.0,193,135,266.0,,300,10.68,10.68,427.0,,,,,,,,2.55,2.55,0,0.0,102,460091,,,,,,
Independiente Medellín,,,,102.61,102.61,5541,,,,,,49.07,49.07,2650,4.2,4.2,227,67.37,67.37,3638,9.63,9.63,520,,,,,,,,,,,,,,,,,,236806.0,7.34,,,,,,,,,1.57,1.57,85,,,,,75.0,4.0,12.0,,,,0.13,0.13,0.0,0.0,7.0,97651.0,,443,8.2,32,367.0,286,196,276.0,,443,9.2,9.2,497.0,,,,,,,,2.35,2.35,0,0.0,127,214800,0.04,0.04,0.0,0.0,2.0,129080.0
Deportes Tolima,,,,101.15,101.15,4855,,,,,,50.54,50.54,2426,3.92,3.92,188,68.77,68.77,3301,11.31,11.31,543,,,,,,,,,,,,,,,,,,258788.0,8.16,,,,,,,,,1.73,1.73,83,,,,,50.0,3.0,3.0,,,,0.1,0.1,0.0,0.0,5.0,236726.0,,364,7.58,13,281.0,219,191,275.0,,364,11.21,11.21,538.0,,,,,,,,2.5,2.5,0,0.0,120,233868,0.13,0.13,0.0,0.0,6.0,236366.0
Jaguares de Córdoba,,,,98.88,98.88,3955,,,,,,47.35,47.35,1894,4.18,4.18,167,71.28,71.28,2851,11.35,11.35,454,,,,,,,,,,,,,,,,,,239361.0,7.68,,,,,,,,,1.5,1.5,60,,,,,54.55,5.0,6.0,,,,0.05,0.05,0.0,0.0,2.0,237782.0,,270,6.75,18,195.0,162,116,197.0,,270,10.35,10.35,414.0,,,,,,,,2.65,2.65,0,0.0,106,16488505,0.03,0.03,0.0,0.0,1.0,237993.0
Deportivo Cali,,,,91.58,91.58,3663,,,,,,50.1,50.1,2004,4.48,4.48,179,65.95,65.95,2638,10.48,10.48,419,,,,,,,,,,,,,,,,,,37416913.0,7.65,,,,,,,,,1.88,1.88,75,,,,,71.43,4.0,10.0,,,,0.2,0.2,0.0,0.0,8.0,159986.0,,244,6.1,98,273.0,135,127,175.0,,244,13.0,13.0,520.0,,,,,,,,3.15,3.15,2,0.05,126,236937,0.1,0.1,0.0,0.0,4.0,20335630.0
Deportivo Pereira,,,,96.73,96.73,4643,,,,,,46.25,46.25,2220,4.02,4.02,193,67.4,67.4,3235,10.67,10.67,512,,,,,,,,,,,,,,,,,,37555431.0,8.77,,,,,,,,,1.15,1.15,55,,,,,90.0,1.0,9.0,,,,0.06,0.06,0.0,0.0,3.0,240102.0,,412,8.58,45,269.0,232,188,290.0,,412,9.44,9.44,453.0,,,,,,,,3.15,3.15,0,0.0,151,238049,0.04,0.04,0.0,0.0,2.0,236552.0
Montevideo City Torque,,,,95.05,95.05,3517,,,,,,55.62,55.62,2058,5.22,5.22,193,62.05,62.05,2296,11.41,11.41,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1.11,41,,,,,66.67,2.0,4.0,,,,0.03,0.03,0.0,0.0,1.0,97211.0,,277,7.49,17,0.0,173,139,0.0,,277,,,,,,,,,,,3.38,3.38,0,0.0,125,19996745,0.08,0.08,0.0,0.0,3.0,214187.0
Cerro Largo,,,,93.95,93.95,3476,,,,,,42.32,42.32,1566,4.51,4.51,167,54.7,54.7,2024,10.0,10.0,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.89,33,,,,,25.0,3.0,1.0,,,,0.08,0.08,0.0,0.0,3.0,214862.0,,259,7.0,17,0.0,174,108,0.0,,259,,,,,,,,,,,3.16,3.16,0,0.0,117,213765,0.11,0.11,0.0,0.0,4.0,213765.0
