name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Bayer 04 Leverkusen vs FC Augsburg,2022-08-13 13:30:00,FC Augsburg won after full-time.,Germany Bundesliga,Bayer 04 Leverkusen,FC Augsburg,1,2,6,15,7.0,3.0,7.0,1.0,24.0,6.0,140.0,83.0,67.0,32.0,67.0,33.0,,,18.0,2.0,6.0,4.0,3.0,2.0,6.0,16.0,16.0,5.0,7.0,15.0,2.0,9.0,1.0,6.0,,,,2.08,1.79,,,,,,,,,,2.05,1.7,,,,,,,2022-2023
RB Leipzig vs FC Köln,2022-08-13 13:30:00,Game ended in draw.,Germany Bundesliga,RB Leipzig,FC Köln,2,2,10,4,2.0,7.0,3.0,3.0,9.0,13.0,84.0,96.0,42.0,69.0,52.0,47.0,0.0,0.0,5.0,7.0,4.0,6.0,1.0,1.0,,,8.0,8.0,17.0,18.0,3.0,3.0,1.0,4.0,,,,2.18,1.74,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
TSG Hoffenheim vs VfL Bochum 1848,2022-08-13 13:30:00,TSG Hoffenheim won after full-time.,Germany Bundesliga,TSG Hoffenheim,VfL Bochum 1848,3,2,16,12,8.0,2.0,4.0,4.0,23.0,11.0,105.0,76.0,48.0,28.0,58.0,41.0,1.0,0.0,17.0,6.0,6.0,5.0,2.0,2.0,,,10.0,10.0,14.0,13.0,3.0,9.0,1.0,1.0,,,,2.34,1.65,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Hertha BSC vs Eintracht Frankfurt,2022-08-13 13:30:00,Game ended in draw.,Germany Bundesliga,Hertha BSC,Eintracht Frankfurt,1,1,14,18,4.0,5.0,6.0,8.0,12.0,11.0,92.0,130.0,30.0,50.0,38.0,61.0,0.0,0.0,8.0,11.0,4.0,0.0,1.0,3.0,,,10.0,8.0,11.0,11.0,0.0,4.0,3.0,1.0,,,,2.38,1.63,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Werder Bremen vs VfB Stuttgart,2022-08-13 13:30:00,Game ended in draw.,Germany Bundesliga,Werder Bremen,VfB Stuttgart,2,2,9,11,2.0,5.0,2.0,3.0,5.0,14.0,138.0,94.0,27.0,27.0,56.0,43.0,0.0,0.0,4.0,7.0,1.0,7.0,0.0,0.0,,,5.0,10.0,10.0,10.0,5.0,1.0,4.0,2.0,,,,2.4,1.62,,,,,,,,,,2.38,1.53,,,,,,,2022-2023
Schalke 04 vs Borussia Mönchengladbach,2022-08-13 16:30:00,Game ended in draw.,Germany Bundesliga,Schalke 04,Borussia Mönchengladbach,2,2,18,5,2.0,7.0,5.0,3.0,12.0,14.0,74.0,108.0,43.0,32.0,31.0,68.0,1.0,0.0,8.0,11.0,4.0,3.0,2.0,4.0,12.0,6.0,10.0,11.0,6.0,11.0,3.0,3.0,4.0,2.0,,,,2.53,1.57,,,,,,,,,,2.5,1.5,,,,,,,2022-2023
FSV Mainz 05 vs FC Union Berlin,2022-08-14 13:30:00,Game ended in draw.,Germany Bundesliga,FSV Mainz 05,FC Union Berlin,0,0,7,6,4.0,4.0,4.0,4.0,11.0,10.0,102.0,96.0,33.0,42.0,49.0,50.0,0.0,0.0,7.0,2.0,4.0,8.0,1.0,0.0,,,8.0,6.0,14.0,14.0,2.0,5.0,1.0,0.0,,,,2.07,1.81,,,,,,,,,,2.0,1.75,,,,,2.03,1.87,2022-2023
FC Bayern München vs VfL Wolfsburg,2022-08-14 15:30:00,FC Bayern München won after full-time.,Germany Bundesliga,FC Bayern München,VfL Wolfsburg,2,0,6,13,8.0,4.0,8.0,1.0,24.0,8.0,93.0,111.0,56.0,17.0,68.0,31.0,0.0,0.0,13.0,4.0,11.0,4.0,6.0,2.0,2.0,6.0,12.0,2.0,10.0,6.0,0.0,2.0,1.0,1.0,,,,2.15,1.75,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
Borussia Mönchengladbach vs Hertha BSC,2022-08-19 18:30:00,Borussia Mönchengladbach won after full-time.,Germany Bundesliga,Borussia Mönchengladbach,Hertha BSC,1,0,3,14,5.0,5.0,1.0,10.0,11.0,17.0,106.0,81.0,25.0,31.0,64.0,35.0,2.0,0.0,8.0,11.0,3.0,6.0,2.0,5.0,,,8.0,13.0,8.0,8.0,5.0,4.0,1.0,1.0,,,,2.4,1.62,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Borussia Dortmund vs Werder Bremen,2022-08-20 13:30:00,Werder Bremen won after full-time.,Germany Bundesliga,Borussia Dortmund,Werder Bremen,2,3,7,9,3.0,5.0,1.0,4.0,6.0,14.0,104.0,108.0,29.0,40.0,49.0,51.0,0.0,0.0,2.0,8.0,4.0,6.0,7.0,3.0,,,6.0,10.0,13.0,9.0,4.0,2.0,4.0,1.0,,,,2.31,1.66,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
Bayer 04 Leverkusen vs TSG Hoffenheim,2022-08-20 13:30:00,TSG Hoffenheim won after full-time.,Germany Bundesliga,Bayer 04 Leverkusen,TSG Hoffenheim,0,3,13,15,3.0,1.0,6.0,3.0,14.0,10.0,115.0,58.0,36.0,27.0,55.0,44.0,0.0,0.0,6.0,7.0,8.0,3.0,1.0,2.0,,,10.0,9.0,17.0,17.0,2.0,3.0,1.0,4.0,,,,2.75,1.49,,,,,,,,,,2.63,1.44,,,,,,,2022-2023
VfL Wolfsburg vs Schalke 04,2022-08-20 13:30:00,Game ended in draw.,Germany Bundesliga,VfL Wolfsburg,Schalke 04,0,0,8,14,12.0,4.0,5.0,7.0,17.0,10.0,165.0,68.0,84.0,22.0,72.0,27.0,0.0,1.0,12.0,6.0,5.0,4.0,2.0,8.0,,,9.0,6.0,11.0,11.0,1.0,3.0,1.0,3.0,,,,2.44,1.6,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
FC Augsburg vs FSV Mainz 05,2022-08-20 13:30:00,FSV Mainz 05 won after full-time.,Germany Bundesliga,FC Augsburg,FSV Mainz 05,1,2,17,6,3.0,3.0,2.0,4.0,7.0,13.0,94.0,104.0,29.0,48.0,51.0,49.0,0.0,1.0,3.0,8.0,4.0,5.0,1.0,4.0,,,4.0,10.0,18.0,12.0,4.0,1.0,2.0,2.0,,,,2.21,1.72,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
VfB Stuttgart vs SC Freiburg,2022-08-20 13:30:00,SC Freiburg won after full-time.,Germany Bundesliga,VfB Stuttgart,SC Freiburg,0,1,11,3,3.0,1.0,7.0,5.0,17.0,9.0,123.0,93.0,61.0,23.0,61.0,38.0,0.0,0.0,13.0,4.0,4.0,5.0,2.0,3.0,7.0,8.0,9.0,7.0,10.0,12.0,2.0,4.0,3.0,2.0,,,,2.36,1.64,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
FC Union Berlin vs RB Leipzig,2022-08-20 16:30:00,FC Union Berlin won after full-time.,Germany Bundesliga,FC Union Berlin,RB Leipzig,2,1,8,10,1.0,13.0,3.0,4.0,7.0,16.0,68.0,158.0,27.0,60.0,26.0,73.0,0.0,0.0,4.0,10.0,3.0,6.0,5.0,3.0,4.0,1.0,7.0,6.0,15.0,15.0,1.0,2.0,2.0,1.0,,,,2.15,1.76,,,,,,,,,,2.05,1.7,,,,,1.93,1.97,2022-2023
